Depth [cm],Ti/Ca,Fe/Ca,Fe/K,Mn,Total counts
6,0.108276734,2.59650924,28.36669543,47.3,4904.5
8,0.090718152,2.691655223,29.6969697,41.2,4911.1
10,0.086567595,2.537873323,30.53819444,46.3,5274.2
12,0.119033975,2.786410151,33.14118793,39.9,4994.2
14,0.112789527,2.829137294,30.84354986,37.7,4921.9
16,0.116795817,2.854915507,34.05233853,34.9,4471.2
18,0.101216594,3.376545672,39.64871194,35.6,4690.4
20,0.122254974,2.792557111,32.95217391,48.8,5563.1
22,0.0951417,2.906966937,34.88360324,37.2,4958.5
24,0.105339762,3.325479851,38.72563559,40.9,5091
26,0.123753033,3.149995506,37.36673774,40.9,4967.3
28,0.132301131,3.221490821,37.36236559,42.1,4914.8
30,0.121729651,3.091388081,39.02522936,40.4,4839.6
32,0.082700576,2.987283872,38.41647059,32.2,4645.9
34,0.085575758,2.660363636,35.43810549,40.5,4854.2
36,0.088678242,2.881378455,40.4539801,33.2,4678.2
38,0.08151109,2.577317972,40.00486618,38.8,4877.2
40,0.070926569,2.665239519,43.81540505,39.7,4834.5
42,0.082827301,2.597198607,39.0243309,36.4,4750.7
44,0.090866698,2.346545866,36.46376812,26.3,5375.4
46,0.095103275,2.261823563,31.32887701,57,5469.2
48,0.074748011,1.736923077,30.34383689,37.4,5523.6
50,0.07686166,1.829509767,32.27323944,40.8,5680.7
52,0.06886608,1.376930596,24.90893015,33.4,5237.4
54,0.049580439,1.129342236,23.70549242,27,5057.9
56,0.061672819,1.137976051,22.00087032,30.8,5118.4
58,0.064060462,1.221782356,23.80280456,26.3,5315.9
60,0.06288005,1.28913112,24.25423729,30,5456
62,0.060941828,1.128215275,22.84861977,30.8,5208.7
64,0.055410306,1.102091591,22.78552746,31.4,5349.8
66,0.0606382,1.18449691,22.51270815,25,5081.3
68,0.067894713,1.08636134,18.46135831,33.9,4954.5
70,0.073952715,1.230377577,19.87540717,32.5,4810.9
72,0.074163255,1.253647965,21.54966887,30.1,5070.5
74,0.080750911,1.279686187,19.99649737,31.9,4431.4
76,0.078526719,1.279188868,18.70499244,35.2,4805.9
78,0.087612129,1.346155963,18.26811053,35.9,4651.6
80,0.081758559,1.346098266,19.48431215,34.7,4607.6
82,0.062300671,1.34774002,21.53778559,37.4,4596.1
84,0.091710649,1.408444582,18.21927711,34.8,4263.4
86,0.078662734,1.502327106,19.63838903,21,4139.6
88,0.100006274,1.414643328,17.78233438,33.3,4248.9
90,0.096311608,1.470512241,20.52750225,34.1,4190.4
92,0.093627385,1.415370045,17.07918367,32,3925.4
94,0.095333703,1.617280532,18.88439774,29.8,4135.8
96,0.104073334,1.580122682,17.96708464,22.4,4126.1
98,0.091988526,1.548462411,18.65996785,37.6,4188.7
100,0.102291901,1.585770529,18.51888342,14.2,4031.2
102,0.112810429,1.771538854,18.66845741,32.8,4195.4
104,0.087109054,1.763006643,19.96534235,35.8,4037.8
106,0.106977875,2.146689359,20.75862069,34.2,4238.6
108,0.127831841,2.029427793,19.25258493,38.2,4307.3
110,0.101276662,2.094737662,22.29411765,29.8,4323.3
112,0.100301075,2.128258065,21.31007752,34.3,3967.1
114,0.131506621,2.116098942,19.78816199,33.1,4146.5
116,0.117392981,1.936752796,18.8372093,20.5,4192.4
118,0.127415949,2.109468897,18.75523466,39.1,4234.4
120,0.135132944,2.129458495,18.72344975,34,4271.8
122,0.106760453,1.994998046,20.37190742,36,4211.4
124,0.119827645,1.876479037,20.33802817,36.1,4612.3
126,0.125563375,1.971613821,18.08194344,30.2,4154
128,0.11507192,2.080764764,19.09016393,26.1,3799.1
130,0.116841743,1.893146203,17.38102767,13.9,3716
132,0.097895408,1.985491071,19.53411765,32.8,4103.9
134,0.103078876,1.991429932,22.856102,38,4114.6
136,0.114002106,1.900661754,19.96445498,17.9,4237
138,0.101568006,1.967582805,17.98389694,17.2,3699.4
140,0.13320173,1.997649934,16.29677914,17.7,3563.7
142,0.132705178,2.020958084,17.85992218,18.5,3786.5
144,0.129748903,1.96396901,17.10569106,15.1,3520.3
148,0.105418037,2.134585425,18.33680297,30.6,3959.1
150,0.122718877,2.006797192,18.928223,43.8,4474.2
152,0.12835003,2.040842538,17.98867925,38.1,3950.8
154,0.124287524,1.911811273,17.4368231,36.6,4086.8
156,0.120039835,1.7814463,17.12444772,23.5,4029.4
158,0.122191734,1.884582404,17.1703125,37.9,3744.5
160,0.127099949,1.918038351,17.3093415,38.4,3834.2
162,0.128657921,1.871426169,16.85984848,21.7,3791.2
164,0.129160457,1.868107303,17.76614173,30,3847.6
166,0.122399734,1.751040107,16.88924559,20,3662.8
168,0.099344888,1.788788457,17.71018062,35.7,3687.8
170,0.140680141,1.754170677,15.82561505,19.8,3843.3
172,0.102531858,1.900150905,18.65432099,32.5,3797.3
174,0.127355596,1.893680428,18.00416667,34.5,3678
176,0.12208589,1.940315513,18.58858102,29,3718.2
178,0.088159873,1.981784419,19.02546689,32.4,3706
180,0.105700326,1.910586319,18.41601256,39.5,3932.6
182,0.113854476,1.85613331,17.61175497,28.3,3641
184,0.120081301,1.809756098,17.62470309,13.2,3801.1
186,0.137809793,2.047594546,20.03104027,19.2,3926.8
188,0.146092362,2.21589698,18.37334315,17.4,4017.3
190,0.148978705,2.182703173,18.56023651,32.2,4072.9
192,0.171739338,2.501765099,20.37373737,41.1,4083.3
194,0.146355353,2.763895216,22.91501416,30,3629.9
196,0.137396223,2.545205729,21.08692366,41.7,4271.3
198,0.144357496,2.840918451,22.14365971,33.2,4092.8
200,0.155988858,2.459802132,20.4872,38.1,3997.3
202,0.180290145,2.727163582,20.49473684,40.5,4153.3
204,0.189777475,2.568555048,18.73352232,41.2,4122.5
206,0.178497526,2.530094467,20.08714286,39.2,4359.9
208,0.192643453,2.727513487,20.13540912,26.4,4228.1
210,0.186465721,2.754728132,19.19423473,41.6,4262.2
212,0.150643818,2.737051021,21.19265367,34.7,4242.2
