Age (kyrs),Amphycoryna cff. scalaris,Anomalina sp. 1,Astacolus sp.,Astrononion sp.,Bolivina cff. spathulata ,Bolivina subaenariensis var. mexicana,Bolivina spp.,Brizalina alata,Bulimina spp.,Cancris auriculus,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides sp.,Cibicidoides wuellerstorfi,Cornuspira spp.,Cribroelphidium cff. williamsoni,Cushmanina plumigera,Cushmanina sp.,Dentalina mutabilis,Dentalina sp.,Elphidium macellum,Epistominella exigua,Evolvocassidulina bradyi ,Favulina hexagona,Fissurina spp.,Fursenkoina complanata,Fursenkoina sp.,Glandulina spp.,Globobulimina spp.,Globocassidulina sp.,Grigelis pyrula,Hansenisca soldanii ,Hanzawaia boueana,Heterolepa bradyi,Hoeglundina elegans,Hyalinea balthica,Hyalinonetrion gracillimum,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Lobatula lobatula,Marginulina sp.,Melonis barleeanus ,Milliolinella circularis/valvularis,Neolenticulina variabilis,Nodosaria cff. vertabralis,Nonion fabum,Nonionella turgida/pulchella,Nonionina sp.,Oolina cff. globosa,Oridorsalis umbonatus,Osangularia culter,Planularia magnifica,Planulina arimenensis,Pseudonodosaria sp.,Pseudopyrgo millettii ,Pullenia bulloides / quinqueloba,Pyrgoella sphaera,Pyrgo spp.,Quinqueloculina spp.,Rectuvigerina cff. elongatastriata,Robertinoides bradyi ,Rutherfordoides rotundatus,Saracenaria spp.,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Spiroloculina depressa,Spiroplectinella spp. wrighti ,Spirosigmoilina tenuis,Trifarina angulosa,Trifarina sp.,Triloculina spp.,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Vaginulina spp.,"Virgulina subquamosa sensu Bradyi, 1884",Agglutinated Foraminifera
18.55,,1,,,14,,1,,0,3,26,7,,13,3,,9,0,,,,,,,1,,,0,,,1,4,,,,,,,,,0,1,1,5,,30,0,,,,,,,2,,,2,,,6,1,7,0,,1,,0,3,7,1,,,,,10,56,9,1,0,2,8
18.85,,1,,,13,1,1,,0,1,22,14,,11,6,,3,0,,,,,,1,5,,,0,,,1,14,,,1,,,,,,0,0,0,15,,32,0,,,,1,,,4,,,1,,,6,1,14,11,,,,0,5,4,,,,,,3,9,18,2,0,2,9
19.25,,,,,9,,0,,0,2,33,11,,8,11,,,0,,,,,,,4,,,1,,,1,16,,,2,,,,,,0,2,1,25,,42,3,,,,1,,,2,2,,4,,,6,9,13,17,,1,,0,2,6,1,,,,,1,2,11,0,0,,9
19.67,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
20.10,1,1,,,10,1,0,,0,2,22,10,,25,7,,,0,,,,,,,4,,,2,,,2,14,,,,1,,,,,0,2,0,21,,36,3,,,,,,,5,,,3,,,11,4,10,10,,1,,0,12,12,,,,,,6,4,8,0,0,2,7
20.51,1,,,,5,,0,,0,2,9,16,,4,9,,,0,,,,,,,8,,,0,,,1,10,,,1,,,,,,0,1,0,18,,21,6,,,,,,,5,,,4,,,13,12,10,13,,10,,0,6,33,3,,1,1,,5,,6,0,0,2,1
20.87,,,,,4,,0,,1,2,9,20,,5,5,,2,0,,,,,,,,,,0,,,1,24,,,,,,,,,0,3,0,12,,31,0,,,,3,,,,,,1,,,8,15,11,22,,2,,0,4,35,,,,,,13,1,5,0,0,,0
21.25,1,,,,7,,0,,1,6,32,10,6,4,14,,,0,,,,,,,4,,,2,,,0,26,,,2,2,,,,,0,4,1,,,24,0,,,,4,1,,2,,,3,,,4,14,17,22,,1,2,0,5,39,2,,,,,6,,5,0,0,,2
21.67,1,,,,11,2,3,,1,,32,8,,15,13,,7,0,,,,,,,2,,,3,,,4,8,,,3,,,,,,0,2,2,11,,19,0,,,,2,,,4,,,8,,,7,3,9,14,,,,0,8,24,1,,,,,2,5,7,0,1,,3
22.09,,,,,9,,0,1,1,4,28,14,,12,10,,2,0,,,,,,,2,1,,0,,,0,18,,,2,1,,,,,0,2,1,18,,27,3,,,,5,,,6,,,1,,,4,4,15,12,,2,,0,4,29,2,,,,,6,3,15,0,0,,4
22.50,,2,,,8,,1,,1,4,27,15,,17,12,,,0,,,,,,,1,,,2,,,0,15,,,4,,,,,,0,2,0,18,,20,2,,,2,1,,,2,,,5,,,3,9,12,12,,,,0,6,16,5,,,,,9,3,14,2,0,,3
22.91,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
23.26,1,,,,16,1,1,1,3,2,17,14,,17,5,,3,1,,,,,,,,,,0,2,,3,37,,,2,,,,,,0,0,0,13,,18,0,,,1,14,,,6,,,3,,,9,1,16,13,1,3,,0,5,2,,,,,,3,2,7,0,0,3,2
23.51,,,,,15,,2,,0,,21,14,,27,13,,,0,,,,,,,3,,,0,,,3,16,,,10,,,1,,,0,1,0,16,,12,3,,,2,12,,,8,1,,3,,,6,13,13,7,,,,0,7,8,3,,,,,24,9,11,0,0,2,2
23.76,,,,,16,,3,2,0,,8,15,,31,17,1,,1,,,,,,,2,,,1,,,2,17,,,4,,,,1,,1,3,0,19,,14,2,,,3,16,,,4,,,4,,,6,8,18,10,1,7,,0,4,3,4,,,,,4,7,14,0,1,3,7
24.03,,,,,12,,1,5,1,2,28,,,40,13,,2,1,,,,,,,1,,,1,1,,1,16,,,3,,,,,,0,0,1,8,,19,2,,,,7,,,5,,,6,,,4,5,5,8,,,,0,5,14,5,,,,,9,10,6,0,0,3,3
24.29,,,,,16,,0,8,0,1,31,12,,42,8,2,1,0,,,,,,,2,,,1,1,,2,20,,,1,,,,,,1,3,0,9,,12,2,,,,8,,,2,1,,,,,3,5,10,7,1,2,,0,3,8,1,,,,,3,5,9,0,0,1,6
24.54,,1,,,13,,1,15,0,,0,11,,16,39,,5,0,,,,,,,,,,3,7,,2,17,,,,,,,,,0,1,0,13,,7,0,,,,14,,,6,,,2,,,6,3,12,17,,1,,0,1,15,,,,,,2,4,3,0,0,,1
24.80,1,,,,11,,0,25,0,,72,22,,6,9,,3,0,,,,,,,2,,,0,3,,5,7,,,1,,,,,,0,1,0,11,,1,0,,,,50,,,5,,,3,,,1,,28,15,,4,,0,,1,,,,,,0,,2,0,0,,0
25.06,,,,,11,,0,5,0,2,60,11,,9,6,1,1,1,,,,,,,3,,,4,3,,2,4,,,1,,,,,2,0,2,0,5,,9,0,,,,29,,,3,1,,4,,,1,,7,2,,1,,0,,3,1,,,2,,4,,17,0,0,2,4
25.33,,,,,4,,0,10,1,,55,6,,4,4,,,0,,,,,,,1,,1,3,1,,0,7,,,2,,,,,,0,3,0,5,,,2,,,1,33,,,7,,,,,,1,,22,22,,,,0,,1,,,,,,0,,2,0,0,,2
25.59,,5,,,9,,1,16,0,,46,15,,10,3,,5,0,,,,,,,,,,3,1,,6,8,,,5,,,,,,0,2,1,3,,5,1,,,3,17,,,9,,,,,,2,2,10,17,,,,0,3,3,2,,,,,6,,2,1,0,5,3
25.84,1,,,,27,,2,,7,4,45,4,,12,7,,6,0,,,,,1,,2,,,0,2,2,1,4,,,5,5,,,,,0,0,0,8,,15,0,,,1,,,,5,,,2,,,2,8,4,13,,,,0,7,3,,1,1,1,,8,,23,0,0,,8
26.10,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
26.35,,,,,22,,0,6,1,2,42,4,,20,4,,8,1,,,,,,,,,,3,,,2,4,,,2,1,,,,,0,0,0,4,,16,0,,,,,,,3,,,1,,,1,5,9,15,,,,0,17,7,2,,,,,5,,28,0,0,,4
26.60,,,,,8,,2,5,1,1,43,10,,32,4,,7,0,,,,,,,,,,0,1,,2,9,,2,3,,,,,,0,0,0,10,,18,0,,,,1,,,6,,,2,,,2,6,10,9,1,2,,0,6,5,1,,,,,3,14,17,0,0,1,6
26.85,,,,,23,2,0,12,0,1,39,11,,31,13,,2,1,,,,,,,,,,4,1,,1,7,,,2,2,2,2,,,0,0,0,6,,28,6,,,,2,,,4,,,1,,,9,2,9,16,,4,,0,8,26,1,,,,,0,4,12,0,0,,6
27.09,,1,,,13,,1,5,2,,29,14,,39,12,,5,0,,,,,,,1,,,4,5,,1,12,,,3,1,,4,,,0,1,0,7,,6,0,,,,3,,,6,,,8,,,7,,15,11,,,,0,6,17,2,,,,,3,11,5,0,1,1,12
