depth	min	max	median	mean
203.5	13256	13955	13538	13556
204.5	13283	14005	13585	13600
205.5	13306	14065	13628	13643
206.5	13325	14142	13671	13687
207.5	13360	14201	13714	13731
208.5	13401	14234	13762	13776
209.5	13431	14275	13810	13821
210.5	13457	14325	13857	13865
211.5	13479	14392	13903	13910
212.5	13519	14441	13947	13955
213.5	13569	14472	13993	13999
214.5	13606	14504	14041	14044
215.5	13637	14546	14088	14088
216.5	13664	14597	14135	14133
217.5	13714	14642	14179	14177
218.5	13783	14664	14223	14222
219.5	13833	14692	14269	14267
220.5	13874	14729	14316	14312
221.5	13907	14774	14363	14358
222.5	13971	14811	14405	14402
223.5	14066	14833	14445	14447
224.5	14144	14860	14489	14492
225.5	14204	14896	14533	14537
226.5	14249	14940	14578	14582
227.5	14295	14982	14621	14624
228.5	14338	15016	14661	14664
229.5	14371	15060	14702	14704
230.5	14396	15114	14743	14745
231.5	14416	15180	14782	14785
232.5	14455	15228	14820	14824
233.5	14503	15257	14860	14864
234.5	14537	15294	14900	14903
235.5	14564	15335	14942	14943
236.5	14589	15382	14983	14982
237.5	14636	15423	15021	15022
238.5	14694	15448	15060	15062
239.5	14742	15479	15101	15102
240.5	14778	15512	15143	15143
241.5	14810	15553	15185	15183
242.5	14868	15590	15223	15223
243.5	14955	15614	15257	15262
244.5	15029	15640	15293	15301
245.5	15089	15671	15330	15341
246.5	15133	15706	15368	15380
247.5	15161	15735	15396	15408
248.5	15180	15753	15412	15425
249.5	15196	15771	15429	15441
250.5	15210	15790	15446	15458
251.5	15222	15810	15463	15475
252.5	15237	15829	15478	15491
253.5	15256	15842	15494	15507
254.5	15272	15858	15510	15523
255.5	15285	15876	15526	15539
256.5	15298	15893	15542	15555
257.5	15314	15910	15558	15570
258.5	15334	15924	15573	15586
259.5	15351	15940	15589	15602
260.5	15366	15955	15605	15617
261.5	15379	15971	15620	15633
262.5	15396	15987	15636	15649
263.5	15416	16001	15651	15664
264.5	15434	16015	15666	15680
265.5	15449	16031	15682	15696
266.5	15462	16047	15698	15711
267.5	15480	16061	15713	15727
268.5	15504	16075	15729	15743
269.5	15525	16087	15745	15759
270.5	15540	16101	15760	15775
271.5	15554	16118	15776	15790
272.5	15572	16135	15794	15808
273.5	15591	16153	15813	15827
274.5	15607	16172	15832	15845
275.5	15621	16192	15851	15864
276.5	15632	16217	15870	15883
277.5	15650	16238	15888	15901
278.5	15670	16257	15908	15920
279.5	15687	16274	15927	15939
280.5	15702	16296	15946	15958
281.5	15714	16319	15966	15977
282.5	15731	16341	15984	15996
283.5	15752	16357	16003	16015
284.5	15770	16375	16022	16033
285.5	15786	16396	16042	16052
286.5	15799	16416	16061	16071
287.5	15818	16436	16079	16090
288.5	15841	16452	16097	16109
289.5	15860	16469	16116	16128
290.5	15878	16487	16136	16147
291.5	15892	16509	16155	16165
292.5	15914	16527	16174	16184
293.5	15940	16542	16192	16203
294.5	15962	16558	16211	16222
295.5	15979	16575	16231	16241
296.5	15995	16595	16250	16260
297.5	16019	16615	16268	16279
298.5	16050	16628	16286	16298
299.5	16077	16646	16304	16317
300.5	16098	16662	16323	16337
