Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,67.5,7.57,early Holocene,8a,15.3,57.7,42.3,Mesotrophic,91.9,2.7,5.4,50.5,25,48.9,26.1,30.3,2.6,Low Oxic,0.02,-0.51,7.57,-0.87,7.35,-10.67,9,4.5,8.1,3.2,14.4,6.3,1.4,0.5,0.5,0.9,8.1,1.4,0,0,0,0,0,24.77477477
GeoB9512-5,72.5,8.07,early Holocene,8a,11.3,63.9,36.1,Mesotrophic,94.1,1.8,4.1,55.3,13.8,62.6,23.6,15.2,2,Low Oxic,0.15,-0.61,8.06,-0.59,7.82,8,5.9,6.8,3.7,3.7,16,12.3,1.4,0,1.4,2.7,6.8,0,0.9,0,0,0,0,21.46118721
GeoB9512-5,77.5,8.58,early Holocene,8a,14.2,67.4,32.6,Eutrophic,93.3,1.3,5.4,61.1,13.6,48.2,38.2,10.9,1.9,Low Oxic,0.27,-0.66,8.67,-0.35,8.33,-5.69,4.2,7.1,4.2,1.3,25.9,5.9,0,0.4,0.8,4.2,8.8,0.4,1.7,0,0,0,0,19.24686192
GeoB9512-5,82.5,9.06,early Holocene,8a,12.6,61.8,38.2,Mesotrophic,92.9,1.8,5.3,50.2,21.6,49.4,29,24.1,2.3,Low Oxic,0.29,-0.61,,,8.82,3.33,6.7,6.7,6.2,0.4,15.6,4.4,0.9,0,0,2.2,10.7,1.8,0.4,0,0,0,0,24
GeoB9512-5,87.5,9.55,early Holocene,8a,13.2,63.2,36.8,Mesotrophic,91.8,0.9,7.3,48.6,22.2,53.2,24.6,26.2,2.4,Low Oxic,0.29,-0.49,9.44,-0.33,9.31,-1.22,8.6,7.3,3.6,0.5,16.4,3.2,1.8,0.9,0.9,5,10,0.9,0.5,0,0,0,0,25
GeoB9512-5,92.5,10.03,early Holocene,8a,13,52.8,47.2,Mesotrophic,92.1,4.4,3.5,42.8,30.1,44.3,25.6,36.7,2.8,Low Oxic,0.39,-0.38,10.09,-0.19,9.79,0.42,9.6,10.9,8.7,0,14,3.9,1.3,0.4,0.4,2.2,6.6,1.7,3.1,0,0,0.9,0,33.18777293
GeoB9512-5,97.5,10.46,early Holocene,8a,17,65.5,34.5,Mesotrophic,93.3,2.4,4.4,55.2,16.5,50.5,33,16.7,2.1,Low Oxic,0.6,-0.3,10.5,0.09,10.25,-9.3,4,9.1,6.3,1.2,11.9,2.8,0.4,1.2,0.8,2.8,5.2,1.2,1.2,0,0.4,0,0,22.22222222
GeoB9512-5,102.5,10.82,early Holocene,8a,16.2,61.2,38.8,Mesotrophic,94.9,2.3,2.8,49.5,22.7,54,23.3,28,2.5,Low Oxic,0.57,,10.81,0.1,10.64,2.22,4.7,4.7,13.6,0,9.3,1.4,2.8,3.7,0.9,0.5,3.7,1.4,3.3,0,0,0.5,0,22.89719626
GeoB9512-5,107.5,10.98,early Holocene,8a,11.2,43,57,Mesotrophic,96.3,1.2,2.5,34.8,44.6,35.8,19.7,61.3,3.9,High Oxic,0.5,,10.98,0.05,10.9,31.25,18.4,9,14.8,0,9.4,1.6,1.6,2,1.2,0,2.5,0,2.9,0,0,0,0,44.26229508
GeoB9512-5,112.5,11.14,early Holocene,7,13.2,43.1,56.9,Mesotrophic,96.7,1.7,1.7,31.8,45.5,37,17.5,65.4,4.1,High Oxic,0.27,,11.15,-0.15,11.06,-12.5,22.2,5.4,11.7,0,7.1,0,2.5,2.9,2.1,0,2.5,0.4,2.1,0,0,0.4,0,43.09623431
