"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
52.5,6.5319222025,8.66998712912213,7.69518090301668,8.1382855986948,9.20058539874756,9.75462951684863
67.5,7.5679314,7.79086175153801,6.73619777131131,7.27844433407361,8.30602225540075,8.79625931993792
72.5,8.0705724,7.90057161311336,6.88588652951829,7.39904361897089,8.40457863048717,8.93964088054122
87.5,9.549697675,7.77993550740949,6.77538795514177,7.26160015200011,8.28899764497238,8.87591841090746
92.5,10.026811595,8.04380997277253,6.8056167118658,7.37019892868454,8.73692792294683,9.57948396499275
97.5,10.462911825,8.73134039655099,7.13432281459098,7.94411667457554,9.49457966311969,10.0569749727114
117.5,11.3019361525,10.3320829819274,9.03950626029835,9.61995866631069,11.0649143651964,11.7722070094811
137.5,11.9340349825,12.0844507385284,10.4584162910469,11.3341507440467,12.8256226574466,13.4731059897588
142.5,12.080292125,11.7281886134703,10.2612551089807,10.8975305139424,12.5698408626177,13.3319037851744
147.5,12.19080761,11.6401832785049,10.2338035273705,10.8397309919836,12.4977979034428,13.2592853088332
152.5,12.3009197,11.8662976479832,10.2930056700458,10.9682558374547,12.749579805069,13.4347038195987
162.5,12.524334425,12.4735493995118,10.7915455877606,11.8198099533458,13.1274057108559,13.6800813520824
167.5,12.6339393,12.5482193417735,11.0883461805316,11.9566133570815,13.1451256164276,13.6675728255531
177.5,12.8606083,12.2212742154624,10.909783878538,11.5336956335369,12.9138231316005,13.4638348743446
182.5,12.9669434,11.9868924809781,10.825150898168,11.345145809129,12.644983320656,13.2742054331458
192.5,13.1783452175,11.8045194637594,10.7358225902583,11.2567762218239,12.3523138373394,12.9427460294285
257.5,15.557338,10.5126895446258,9.41692702347811,9.96675831586944,11.0590305419322,11.5972106272679
372.5,17.513520435,11.3355981725353,9.87790966889034,10.3104553109944,12.7589177914915,13.5763683468477
372.5,17.513520435,11.3355981725353,9.87790966889034,10.3104553109944,12.7589177914915,13.5763683468477
377.5,17.64115525,12.06153942842,10.0210060231913,10.5955461381833,13.2697603321221,13.9053785891314
387.5,17.894060215,13.0014483362567,10.7365542077856,12.470170130987,13.6351028339035,14.1545604519991
397.5,18.1557021375,13.3771719709238,12.1524988676661,12.7415664733166,14.0383609860715,14.7870323731413
407.5,18.4111974725,14.0728038692006,12.5965347969457,13.3942787902485,14.7528383535325,15.318333103943
432.5,20.106613375,12.5994167505991,11.3724253841448,11.9527511052574,13.2263402377729,13.7963220382132
437.5,20.508005345,12.10278383524,11.0469038924251,11.5363199696117,12.6660975681542,13.3108868223554
442.5,20.8686871525,11.9039659107625,10.8216455120481,11.3678179753034,12.439212299769,12.9797618329133
447.5,21.248244385,11.9875370193298,9.58854568931859,11.3749002191228,12.7001548331195,13.2819564316205
452.5,21.65973326,10.8592568726212,8.00208217274299,9.05328871683601,12.3228758524241,13.0354977532888
457.5,22.091978925,9.52405161372171,7.74605776967386,8.30053528403294,11.173443517975,12.3844577586601
462.5,22.5090288175,8.83572460947343,7.68751650064238,8.1366591480062,9.40608889562376,11.3634803531181
