"Median Age [kyrs]","dw [permil]","Q0.025","Q0.16","Q0.84","Q0.975"
0.182659975,-0.0172999399837491,-0.264496209748419,-0.200013827724155,0.166226500336421,0.247163072100916
0.706215175,-0.134944669200423,-1.02004354050425,-0.701367658852257,0.228621850224905,0.394863087911792
1.48208575,-0.452535418014939,-1.11097980644474,-0.939167603329636,0.074030372902285,0.315700651461312
2.3404165175,-0.64863443325483,-1.11093975996383,-0.967400191997347,-0.209386063267916,0.172871778205404
3.15969015,-0.7745538552445,-1.09701260591644,-0.962104043090227,-0.621544844295578,-0.054011481753312
4.1018556,-0.810099833466915,-1.05851249654602,-0.939060847274872,-0.683286224355346,-0.534169374803175
4.85135175,-0.698491391143349,-1.02432603962314,-0.894683124218621,-0.468558530065075,-0.278327246569313
5.592790975,-0.0518069474234387,-0.748111992731703,-0.280904823635168,0.195752823215516,0.337444038858846
5.871328075,-0.0928695399734296,-0.686351253125066,-0.396729702136716,0.167216368892923,0.286333851886545
6.1843417,-0.427081366630581,-0.845295012676025,-0.693507110756881,-0.111062446005694,0.160435217677817
6.500680325,-0.629429719147921,-0.900299315236976,-0.779046484328139,-0.495690241201595,-0.182475292031172
6.8123618965,-0.696478208572915,-0.910523958741702,-0.807724592664745,-0.586089940341505,-0.466003249764048
7.114399025,-0.625783857093298,-0.894275317345796,-0.773181010460804,-0.474041589706038,-0.335370331276373
7.5003447145,-0.530751723591363,-0.803472425989302,-0.670462189037666,-0.390869597894052,-0.256141984174741
8.007131025,-0.632871809585718,-0.87613306596396,-0.761909048037727,-0.505331975035767,-0.312855333473244
8.477157975,-0.651474422418278,-0.898866014999448,-0.781853489470744,-0.525002470063576,-0.318103649454455
8.94361434,-0.579942883990097,-0.878062547467074,-0.760191226994902,-0.373184483132848,-0.200804822810829
9.45897685,-0.445948188873462,-0.829562014000349,-0.656829509985986,-0.259853915867641,-0.135684091843044
9.45897685,-0.445948188873462,-0.829562014000349,-0.656829509985986,-0.259853915867641,-0.135684091843044
9.952396425,-0.337873560821043,-0.693859586537713,-0.472147505287927,-0.199651545787923,-0.0884308833256831
10.438983455,-0.281481444344074,-0.52535557640564,-0.396389702542924,-0.165661662458472,-0.0520479480714628
11.473423125,-0.0390743813882399,-0.656231133932871,-0.496905027114446,0.45750490612486,1.20658492996154
11.791348855,0.76620955484936,-0.46003563080046,0.124016915845486,1.19289417060119,1.37575468937957
12.8509581325,1.27620061623447,0.585708191015836,0.986624629148759,1.6036798066685,1.8069747763093
13.0741070875,0.865200534495815,0.280985927259036,0.451122803250949,1.28963110600648,1.69516999999923
13.17992825,0.669452511327631,0.251595368469421,0.402601044079026,1.02442359784173,1.53261447648977
13.4918907,0.962415925077403,0.421546657218951,0.572147756804568,1.52905741719573,1.82938898152079
13.716430225,1.37932573479728,0.552774397488251,0.896153274750882,1.7194405808378,1.8918094669365
13.9523478875,1.46626044359097,0.814211362705032,1.2809261898359,1.6818957609686,1.85707052323227
14.40713815,0.99085945133566,-0.0567213877797328,0.794282139636118,1.34796426144047,1.59725909125764
14.620564025,0.68442927930087,-0.153773906710111,0.14907443215854,1.04551314311294,1.52834066893515
14.620564025,0.68442927930087,-0.153773906710111,0.14907443215854,1.04551314311294,1.52834066893515
14.821929235,0.720155212108957,-0.101270407845685,0.205530919920795,1.3101031693541,1.73033857774104
15.018398225,0.934882383807653,0.142439091815671,0.407661017340798,1.49089214938753,1.77989398156227
15.2221697725,0.726609031509476,0.182674488950108,0.327566996215766,1.26142060890318,1.72987822334241
15.3948915125,0.678591083641565,0.15068801205082,0.306567033264096,1.12679300115338,1.58468059285856
15.4769207075,0.784148610416065,0.171797071535832,0.346674367495505,1.25824600832627,1.60377304206645
15.5585832225,0.81619245581633,0.18227911142534,0.387756472921134,1.28433068181316,1.60455709382248
15.63377202,0.769384516967181,0.157163933148332,0.402636645267351,1.18194463378655,1.56301279188432
15.7125786415,0.683391053216269,0.0256492533140205,0.355288249954886,0.957495129600686,1.5052510443514
16.07824506,0.503628108986225,-0.0657066703499882,0.0755191494809278,1.01533073200175,1.50663612036292
16.2687147825,0.759051169837496,0.0139273971442787,0.212011732373138,1.30606583094612,1.62534389263134
16.35928232,0.631200831094762,0.0378845080102954,0.206029087784404,1.1763971780647,1.57882425588045
16.43690706,0.523203600636408,0.05200103518507,0.206637354365019,0.819714280854703,1.50140597130679
16.5149305825,0.47406313502401,0.0623495286278936,0.22358748017696,0.681329735935414,1.34233578665122
16.59098056,0.469861746027626,0.0831990834456633,0.24288808447595,0.672278530755526,1.04692401735972
16.671708225,0.483739210446781,0.103499973373396,0.274740518520208,0.678092341376732,0.910530624885325
16.671708225,0.483739210446781,0.103499973373396,0.274740518520208,0.678092341376732,0.910530624885325
16.74820675,0.485595859328379,0.121781698793161,0.296888705886589,0.674894885203418,0.873960903292029
16.8244488525,0.473575619967187,0.151361709969072,0.295253058698673,0.651082044285407,0.859583632608685
16.9015025525,0.460283590179644,0.157170112549483,0.283467669981708,0.636403352248116,0.911429839500054
16.97804954,0.495402055497355,0.159727362216877,0.280954331013027,0.752469786723068,1.06942258577423
17.05144673925,0.587466378422238,0.168194131952047,0.307068647547768,0.91722699137226,1.14910266404495
17.124308965,0.666314611334382,0.207074628919098,0.362508133112562,0.9668180862506,1.19708806752518
17.19646526,0.672934963188786,0.238337335070355,0.409455345211182,0.961582368622942,1.20412293799268
17.19646526,0.672934963188786,0.238337335070355,0.409455345211182,0.961582368622942,1.20412293799268
17.275190025,0.660185877824752,0.266684985019458,0.41288637615503,0.954836812882261,1.30617461480108
17.390886555,0.753145450503713,0.293532587100718,0.438086843666671,1.12777905957151,1.45426497003165
17.51298804,0.925812022281041,0.348501250476395,0.539791933099375,1.25405047777484,1.50040933673772
17.635112725,1.01041048407947,0.446320544678569,0.796058273680498,1.23955343910056,1.47247025136937
17.7615902025,1.0230210418208,0.599755083970143,0.853825952169234,1.20099592636892,1.40873721475197
17.8911374925,1.00704460378578,0.644048402286679,0.849815392319248,1.16874379876701,1.35131335162131
18.022448195,0.994901487005801,0.549795035101011,0.809654549598229,1.17672979288281,1.39505642492781
18.1511190475,1.00295831059724,0.471088042161618,0.724646906719497,1.24681327499281,1.63637016714961
18.2771442375,1.05104651398919,0.4459381591013,0.696946407475297,1.41638477274657,1.73467145540923
18.405157835,1.11359412710872,0.483666309725829,0.760311298133009,1.50749132278676,1.76399352589881
18.5532463175,1.04777501582931,0.611836154269623,0.803457755603297,1.34731766761802,1.70948909473069
18.8675039325,0.935778198412201,0.552928541534144,0.783225647394986,1.08379269265536,1.27500388170726
19.2454536825,0.942946926175558,0.483791197043713,0.68715738822494,1.22198783143452,1.52127658313922
19.6572547275,1.14737552039252,0.550474375044331,0.803719745797857,1.43156565832958,1.86048405978415
20.0730800575,1.48807006947093,0.774553531345184,1.04127941014386,2.15290534264765,2.62817592429305
20.5043044875,2.02464357207527,0.971031029177014,1.42873430063298,2.49174545363031,2.71698307134347
21.233238705,1.5834498586583,1.17865744270284,1.41414480340883,1.7595749179309,1.9981344518882
21.64504239675,1.34182602167286,0.426460904273835,1.08124146789431,1.65599440859102,1.80035588726405
22.0635253625,1.01466013986796,0.365355256771668,0.569159233476774,1.45967913555007,1.73746565249248
22.479610605,0.786053590961992,0.397176670711217,0.553812424942422,1.06116162415027,1.44368134011075
23.254085855,0.613530160116527,0.290473754383325,0.423732232035471,0.827402930644751,1.06073592855092
23.51143875,0.83393138851435,0.384755491674361,0.589194102884078,1.06323480240019,1.22077485189386
23.76866502,0.990480019910201,0.617466334518663,0.828206644837972,1.15160918381423,1.2886620391694
24.02176054,1.06015135896768,0.763408735894508,0.920891110348929,1.19999424708814,1.36878320924101
24.2826237425,1.0950148325476,0.806871118354352,0.948334170424465,1.24257846117116,1.43814780887267
24.540160425,1.11434320303127,0.795666433419659,0.947853689114026,1.29098213434773,1.48396805120356
25.836106275,0.850238464995897,0.472238133909762,0.619991925089907,1.09719935648992,1.27780163738689
26.09055198,0.924466930841638,0.486882395608261,0.673942991572267,1.13715620029743,1.28834723615491
26.35188456,0.975129239044395,0.557488368977663,0.803083131063672,1.13729451425442,1.27771874213249
26.60327617775,0.935557417617453,0.554216712476037,0.745287501858771,1.11139834062019,1.24441409264393
26.84879072,0.868031252166839,0.5166470132859,0.680244712159005,1.0570206094212,1.21580056613658
27.0845552925,0.858482716574342,0.510064155780808,0.673927201383293,1.04400330189654,1.21859303212752
