depth	min	max	median	mean
203.5	13259	13983	13545	13565
204.5	13286	14027	13591	13608
205.5	13307	14086	13635	13652
206.5	13325	14161	13679	13696
207.5	13359	14217	13722	13740
208.5	13405	14250	13769	13784
209.5	13438	14289	13816	13828
210.5	13461	14338	13863	13872
211.5	13483	14399	13908	13916
212.5	13526	14448	13952	13961
213.5	13579	14476	13998	14005
214.5	13620	14513	14045	14050
215.5	13651	14555	14091	14095
216.5	13678	14606	14137	14139
217.5	13730	14649	14180	14185
218.5	13794	14675	14226	14230
219.5	13843	14708	14273	14275
220.5	13884	14745	14320	14321
221.5	13916	14792	14367	14366
222.5	13982	14835	14410	14411
223.5	14072	14856	14451	14455
224.5	14151	14883	14492	14500
225.5	14208	14918	14536	14544
226.5	14255	14960	14581	14588
227.5	14300	15000	14623	14630
228.5	14345	15035	14664	14670
229.5	14376	15081	14707	14711
230.5	14403	15135	14748	14751
231.5	14424	15196	14787	14791
232.5	14464	15245	14825	14831
233.5	14511	15276	14865	14871
234.5	14547	15309	14907	14911
235.5	14576	15350	14948	14950
236.5	14599	15399	14987	14990
237.5	14644	15440	15026	15030
238.5	14703	15466	15065	15069
239.5	14747	15498	15106	15109
240.5	14783	15533	15148	15149
241.5	14811	15576	15189	15189
242.5	14869	15613	15226	15228
243.5	14959	15638	15260	15268
244.5	15034	15667	15295	15308
245.5	15093	15697	15333	15347
246.5	15136	15736	15372	15387
247.5	15163	15765	15401	15415
248.5	15183	15782	15417	15432
249.5	15199	15801	15434	15449
250.5	15213	15821	15451	15466
251.5	15225	15843	15468	15483
252.5	15240	15862	15484	15499
253.5	15259	15876	15499	15515
254.5	15276	15895	15515	15531
255.5	15290	15914	15531	15547
256.5	15302	15933	15547	15563
257.5	15317	15950	15563	15579
258.5	15336	15962	15578	15594
259.5	15353	15976	15594	15610
260.5	15366	15991	15610	15626
261.5	15378	16008	15626	15641
262.5	15396	16024	15642	15657
263.5	15417	16037	15656	15673
264.5	15435	16051	15672	15688
265.5	15450	16067	15687	15704
266.5	15463	16084	15703	15720
267.5	15481	16100	15718	15735
268.5	15505	16113	15734	15751
269.5	15524	16127	15749	15767
270.5	15541	16144	15765	15783
271.5	15555	16161	15781	15798
272.5	15572	16177	15798	15816
273.5	15592	16194	15817	15834
274.5	15607	16213	15836	15853
275.5	15620	16232	15856	15872
276.5	15631	16259	15874	15890
277.5	15647	16279	15892	15909
278.5	15670	16294	15911	15928
279.5	15687	16314	15931	15946
280.5	15701	16335	15950	15965
281.5	15712	16358	15969	15984
282.5	15729	16379	15988	16003
283.5	15752	16397	16007	16022
284.5	15770	16415	16026	16041
285.5	15786	16434	16045	16059
286.5	15798	16453	16064	16078
287.5	15818	16471	16083	16097
288.5	15843	16487	16101	16116
289.5	15862	16504	16120	16135
290.5	15879	16525	16139	16153
291.5	15894	16546	16158	16172
292.5	15916	16563	16177	16191
293.5	15942	16580	16195	16210
294.5	15965	16597	16213	16229
295.5	15984	16616	16232	16247
296.5	15999	16635	16252	16266
297.5	16023	16652	16270	16285
298.5	16053	16668	16287	16304
299.5	16080	16684	16306	16323
300.5	16100	16703	16324	16342
301.5	16117	16723	16344	16361
302.5	16135	16740	16362	16379
303.5	16151	16754	16377	16394
304.5	16164	16771	16393	16410
305.5	16175	16787	16409	16426
306.5	16186	16808	16425	16441
307.5	16199	16826	16440	16457
308.5	16215	16839	16455	16472
309.5	16229	16854	16471	16488
310.5	16241	16871	16487	16504
311.5	16252	16890	16503	16519
312.5	16267	16908	16518	16534
313.5	16284	16923	16533	16550
314.5	16299	16937	16549	16565
315.5	16312	16955	16565	16580
316.5	16323	16971	16581	16596
317.5	16337	16985	16597	16611
318.5	16355	17001	16612	16627
319.5	16371	17014	16628	16642
320.5	16384	17030	16644	16658
321.5	16395	17046	16660	16673
322.5	16410	17062	16674	16688
323.5	16429	17075	16690	16704
324.5	16445	17090	16705	16719
325.5	16460	17105	16721	16734
326.5	16471	17121	16737	16750
327.5	16487	17136	16752	16765
328.5	16508	17148	16767	16780
329.5	16525	17162	16782	16796
330.5	16540	17177	16798	16811
331.5	16554	17192	16814	16826
332.5	16571	17207	16829	16842
333.5	16591	17220	16843	16857
334.5	16608	17236	16859	16873
335.5	16623	17255	16874	16888
336.5	16636	17271	16889	16904
337.5	16654	17286	16905	16919
338.5	16677	17299	16919	16934
339.5	16696	17310	16934	16950
340.5	16712	17327	16949	16965
341.5	16727	17341	16965	16980
342.5	16747	17356	16979	16996
343.5	16772	17368	16994	17011
344.5	16793	17381	17008	17026
345.5	16810	17394	17023	17041
346.5	16824	17411	17038	17057
347.5	16841	17424	17053	17071
348.5	16858	17440	17067	17086
349.5	16874	17454	17082	17100
350.5	16886	17469	17097	17115
351.5	16896	17486	17112	17130
352.5	16910	17501	17126	17144
353.5	16927	17514	17140	17158
354.5	16940	17528	17155	17173
355.5	16952	17542	17170	17187
356.5	16963	17558	17185	17202
357.5	16978	17574	17200	17216
358.5	16996	17586	17214	17230
359.5	17012	17600	17228	17245
360.5	17025	17614	17243	17259
361.5	17037	17630	17258	17273
362.5	17055	17646	17277	17292
363.5	17076	17666	17301	17316
364.5	17094	17691	17325	17340
365.5	17109	17720	17348	17364
366.5	17120	17759	17371	17387
367.5	17140	17792	17395	17412
368.5	17165	17813	17420	17436
369.5	17184	17837	17445	17461
370.5	17198	17868	17470	17485
371.5	17211	17903	17495	17510
372.5	17231	17932	17519	17535
373.5	17256	17953	17544	17559
374.5	17275	17979	17570	17584
375.5	17292	18006	17595	17609
376.5	17306	18038	17620	17633
377.5	17327	18068	17644	17658
378.5	17353	18089	17670	17683
379.5	17374	18112	17696	17708
380.5	17392	18140	17722	17733
381.5	17408	18172	17747	17758
382.5	17430	18200	17772	17783
383.5	17457	18220	17797	17807
384.5	17479	18241	17823	17832
385.5	17498	18265	17849	17857
386.5	17514	18292	17874	17881
387.5	17538	18316	17899	17906
388.5	17570	18336	17924	17931
