Age (kyrs),Amphycoryna cff. scalaris,Anomalina sp. 1,Astacolus sp.,Astrononion sp.,Bolivina spp. *,Brizalina alata,Bulimina spp.,Cancris auriculus,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides robertsonianus,Cibicidoides/Planulina *,Cornuspira spp.,Cribroelphidium cff. williamsoni,Cushmanina plumigera,Cushmanina sp.,Dentalina mutabilis,Dentalina sp.,Elphidium macellum,Epistominella exigua,Evolvocassidulina bradyi ,Favulina hexagona,Fissurina spp.,Fursenkoina spp. *,Glandulina spp.,Globobulimina spp.,Globocassidulina sp.,Grigelis pyrula,Hansenisca soldanii ,Hanzawaia boueana,Heterolepa bradyi,Hoeglundina elegans,Hyalinea balthica,Hyalinonetrion gracillimum,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Marginulina sp.,Melonis barleeanus ,Neolenticulina variabilis,Nodosaria cff. vertabralis,Nonion fabum,Nonionella turgida/pulchella,Nonionina sp.,Oolina cff. globosa,Oridorsalis umbonatus,Osangularia culter,Planularia magnifica,Pseudonodosaria sp.,Pullenia bulloides / quinqueloba,Rectuvigerina cff. elongatastriata,Robertinoides bradyi ,Rutherfordoides rotundatus,Saracenaria spp.,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Spiroplectinella spp. wrighti ,Trifarina sp. *,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Vaginulina spp.,Virgulina subquamosa,Agglutinated Foraminifera *,Porcellaneous Foraminfiera *
18.56,,1,,,15,,0,3,26,7,3,29,0,,,,,,,1,,,0,0,1,4,,,,,,,,,0,1,1,,30,,,,,,,2,,,,6,,1,,0,3,7,,0,56,9,1,0,2,8,19
18.86,,1,,,15,,0,1,22,14,6,30,0,,,,,,1,5,,,0,0,1,14,,,1,,,,,,0,0,0,,32,,,,1,,,4,,,,6,,,,0,5,4,,0,9,18,2,0,2,9,29
19.26,,,,,9,,0,2,33,11,11,37,0,,,,,,,4,,,1,0,1,16,,,2,,,,,,0,2,1,,42,,,,1,,,2,2,,,6,,1,,0,2,6,,0,2,11,0,0,,9,44
19.68,,,,,0,,0,,0,,,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,,0,0
20.11,1,1,,,11,,0,2,22,10,7,49,0,,,,,,,4,,,2,0,2,14,,,,1,,,,,0,2,0,,36,,,,,,,5,,,,11,,1,,0,12,12,,0,4,8,0,0,2,7,33
20.51,1,,,,5,,0,2,9,16,9,26,0,,,,,,,8,,,0,0,1,10,,,1,,,,,,0,1,0,,21,,,,,,,5,,,,13,,10,,0,6,33,,1,,6,0,0,2,1,50
20.87,,,,,4,,1,2,9,20,5,20,0,,,,,,,,,,0,0,1,24,,,,,,,,,0,3,0,,31,,,,3,,,,,,,8,,2,,0,4,35,,0,1,5,0,0,,0,61
21.25,1,,,,7,,1,6,32,10,14,13,0,,,,,,,4,,,2,0,0,26,,,2,2,,,,,0,4,1,,24,,,,4,1,,2,,,,4,,1,2,0,5,39,,0,,5,0,0,,2,61
21.66,1,,,,16,,1,,32,8,13,41,0,,,,,,,2,,,3,0,4,8,,,3,,,,,,0,2,2,,19,,,,2,,,4,,,,7,,,,0,8,24,,0,5,7,0,1,,3,29
22.09,,,,,9,1,1,4,28,14,10,33,0,,,,,,,2,1,,0,0,0,18,,,2,1,,,,,0,2,1,,27,,,,5,,,6,,,,4,,2,,0,4,29,,0,3,15,0,0,,4,42
22.51,,2,,,9,,1,4,27,15,12,40,0,,,,,,,1,,,2,0,0,15,,,4,,,,,,0,2,0,,20,,,2,1,,,2,,,,3,,,,0,6,16,,0,3,14,2,0,,3,49
22.91,,,,,0,,0,,0,,,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,,0,0
23.25,1,,,,18,1,3,2,17,14,5,36,1,,,,,,,,,,0,2,3,37,,,2,,,,,,0,0,0,,18,,,1,14,,,6,,,,9,1,3,,0,5,2,,0,2,7,0,0,3,2,33
23.5,,,,,17,,0,,21,14,13,46,0,,,,,,,3,,,0,0,3,16,,,10,,,1,,,0,1,0,,12,,,2,12,,,8,1,,,6,,,,0,7,8,,0,9,11,0,0,2,2,63
23.76,,,,,19,2,0,,8,15,17,55,1,,,,,,,2,,,1,0,2,17,,,4,,,,1,,1,3,0,,14,,,3,16,,,4,,,,6,1,7,,0,4,3,,0,7,14,0,1,3,7,46
24.01,,,,,13,5,1,2,28,,13,56,1,,,,,,,1,,,1,1,1,16,,,3,,,,,,0,0,1,,19,,,,7,,,5,,,,4,,,,0,5,14,,0,10,6,0,0,3,3,34
24.26,,,,,16,8,0,1,31,12,8,54,0,,,,,,,2,,,1,1,2,20,,,1,,,,,,1,3,0,,12,,,,8,,,2,1,,,3,1,2,,0,3,8,,0,5,9,0,0,1,6,28
24.53,,1,,,14,15,0,,0,11,39,36,0,,,,,,,,,,3,7,2,17,,,,,,,,,0,1,0,,7,,,,14,,,6,,,,6,,1,,0,1,15,,0,4,3,0,0,,1,34
24.79,1,,,,11,25,0,,72,22,9,23,0,,,,,,,2,,,0,3,5,7,,,1,,,,,,0,1,0,,1,,,,50,,,5,,,,1,,4,,0,,1,,0,,2,0,0,,0,43
25.05,,,,,11,5,0,2,60,11,6,20,1,,,,,,,3,,,4,3,2,4,,,1,,,,,2,0,2,0,,9,,,,29,,,3,1,,,1,,1,,0,,3,,2,,17,0,0,2,4,14
25.31,,,,,4,10,1,,55,6,4,9,0,,,,,,,1,,1,3,1,0,7,,,2,,,,,,0,3,0,,,,,1,33,,,7,,,,1,,,,0,,1,,0,,2,0,0,,2,46
25.57,,5,,,10,16,0,,46,15,3,18,0,,,,,,,,,,3,1,6,8,,,5,,,,,,0,2,1,,5,,,3,17,,,9,,,,2,,,,0,3,3,,0,,2,1,0,5,3,38
25.84,1,,,,29,,7,4,45,4,7,28,0,,,,,1,,2,,,0,4,1,4,,,5,5,,,,,0,0,0,,15,,,1,,,,5,,,,2,,,,0,7,3,1,1,,23,0,0,,8,34
26.1,,,,,0,,0,,0,,,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,,0,0
26.36,,,,,22,6,1,2,42,4,4,33,1,,,,,,,,,,3,0,2,4,,,2,1,,,,,0,0,0,,16,,,,,,,3,,,,1,,,,0,17,7,,0,,28,0,0,,4,36
26.6,,,,,10,5,1,1,43,10,4,51,0,,,,,,,,,,0,1,2,9,,2,3,,,,,,0,0,0,,18,,,,1,,,6,,,,2,1,2,,0,6,5,,0,14,17,0,0,1,6,29
26.85,,,,,25,12,0,1,39,11,13,40,1,,,,,,,,,,4,1,1,7,,,2,2,2,2,,,0,0,0,,28,,,,2,,,4,,,,9,,4,,0,8,26,,0,4,12,0,0,,6,34
27.08,,1,,,14,5,2,,29,14,12,59,0,,,,,,,1,,,4,5,1,12,,,3,1,,4,,,0,1,0,,6,,,,3,,,6,,,,7,,,,0,6,17,,0,11,5,0,1,1,12,31
