Depth [cm],d18O [per mil PDB] - Cibicidoides spp.,d13C [per mil PDB] - Cibicidoides spp.,sp.,Source
358,3.03,0.27,C. pachyderma,Völpel
362.5,3.23,0.3,C. pachyderma,This Study
363,3.14,0.22,C. pachyderma,Völpel
367.5,3.18,0.3,C. pachyderma,This Study
368,3.09,0.21,C. pachyderma,Völpel
372.5,3.29,0.27,C. pachyderma,This Study
373,3.58,0.53,C. pachyderma,Völpel
377.5,3.28,0.31,C. pachyderma,This Study
382.5,3.49,0.35,C. pachyderma,This Study
383,3.33,0.27,C. pachyderma,Völpel
387.5,3.23,0.28,C. pachyderma,This Study
388,3.28,0.42,C. pachyderma,Völpel
392.5,3.43,0.36,C. pachyderma,This Study
393,3.25,0.33,C. pachyderma,Völpel
397.5,3.33,0.39,C. pachyderma,This Study
398,3.16,0.27,C. pachyderma,Völpel
402.5,3.39,0.41,C. pachyderma,This Study
407.5,3.95,0.67,"C. robertsonianus, L. lobatula",This Study
412.5,3.42,0.56,C. pachyderma,This Study
417.5,3.54,0.42,"C. pachyderma, L lobatula",This Study
418,3.53,0.47,C. pachyderma,Völpel
422.5,3.6,0.56,"C. pachyderma, L lobatula",This Study
423,3.35,0.43,C. pachyderma,Völpel
427.5,3.61,0.6,"C. pachyderma, L lobatula",This Study
432.5,3.57,0.54,C. pachyderma,This Study
433,3.43,0.64,C. pachyderma,Völpel
437.5,3.74,0.39,"C. pachyderma, L lobatula",This Study
442.5,3.44,0.52,L. lobatula,This Study
447.5,3.76,0.86,C. robertsonianus,This Study
452.5,3.86,0.57,C. robertsonianus,This Study
453,3.54,0.65,C. pachyderma,Völpel
457.5,4.17,-0.98,C. pachyderma,This Study
458,3.32,0.49,C. pachyderma,Völpel
462.5,3.69,0.18,"C. pachyderma, C. robertsonianus",This Study
463,3.42,0.46,C. pachyderma,Völpel
463,3.26,0.86,C. pachyderma,Völpel
467.5,3.63,0.31,C. pachyderma,This Study
468,3.35,0.47,C. pachyderma,Völpel
472.5,3.29,0.34,C. pachyderma,This Study
473,3.25,0.17,C. pachyderma,Völpel
477.5,3.51,0.56,C. pachyderma,This Study
478,3.33,0.46,C. pachyderma,Völpel
482.5,3.58,0.53,C. pachyderma,This Study
483,3.43,0.24,C. pachyderma,Völpel
487.5,3.39,0.52,C. pachyderma,This Study
488,3.13,0.31,C. pachyderma,Völpel
492.5,3.47,0.52,C. pachyderma,This Study
493,3.34,0.4,C. pachyderma,Völpel
497.5,3.29,0.48,C. pachyderma,This Study
502.5,3.88,0.03,"C. robertsonianus, C. pachyderma",This Study
507.5,3.55,0.37,"L. lobatula, C. pachyderma",This Study
517.5,3.45,-0.8,"C. pachyderma, C. robertsonianus",This Study
522.5,3.46,0.41,C. pachyderma,This Study
523,3.41,0.56,C. pachyderma,Völpel
527.5,3.39,0.6,C. pachyderma,This Study
528,3.38,0.53,C. pachyderma,Völpel
532.5,3.52,0.44,C. pachyderma,This Study
537.5,3.48,0.59,C. pachyderma,This Study
542.5,3.36,0.58,C. pachyderma,This Study
547.5,3.4,0.48,C. pachyderma,This Study
532.5,3.52,0.44,C. pachyderma,This study
537.5,3.48,0.59,C. pachyderma,This study
542.5,3.36,0.58,C. pachyderma,This study
547.5,3.4,0.48,C. pachyderma,This study
22.5,2.73,0.2,U. mediterranea,This study
27.5,2.71,0.25,U. mediterranea,This study
32.5,2.44,0.13,U. mediterranea,This study
37.5,2.56,-0.18,U. mediterranea,This study
42.5,2.78,0.33,U. mediterranea,This study
47.5,2.54,-0.12,U. mediterranea,This study
52.5,2.69,0.23,U. mediterranea,This study
57.5,2.6,0.1,U. mediterranea,This study
62.5,2.69,0.02,U. mediterranea,This study
227.5,3.09,0.11,U. mediterranea,This study
232.5,3.59,-0.04,U. mediterranea,This study
237.5,3.1,-0.18,U. mediterranea,This study
242.5,3.92,-0.13,U. mediterranea,This study
347.5,4.02,0.06,U. mediterranea,This study
352.5,3.97,-0.11,U. mediterranea,This study
357.5,4,0.05,U. mediterranea,This study
362.5,3.94,-0.25,U. mediterranea,This study
367.5,3.88,-0.17,U. mediterranea,This study
372.5,3.8,-0.01,U. mediterranea,This study
377.5,3.95,-0.05,U. mediterranea,This study
382.5,3.88,-0.17,U. mediterranea,This study
387.5,3.94,0.09,U. mediterranea,This study
392.5,3.79,-0.18,U. mediterranea,This study
397.5,3.88,-0.09,U. mediterranea,This study
402.5,3.84,0.12,U. mediterranea,This study
407.5,3.97,-0.1,U. mediterranea,This study
412.5,3.8,-0.14,U. mediterranea,This study
