Age min (kyrs BP),5th,10th,20th,30th,40th,50th,60th,70th,80th,90th,95th
11200,-2.267,-2.156,-2.034,-1.911,-1.835,-1.778,-1.699,-1.619,-1.526,-1.402,-1.307
11400,-2.556,-2.426,-2.319,-2.236,-2.152,-2.082,-2.009,-1.939,-1.865,-1.720,-1.628
11600,-2.949,-2.830,-2.707,-2.599,-2.517,-2.436,-2.352,-2.274,-2.159,-2.027,-1.936
11800,-3.286,-3.192,-3.056,-2.964,-2.875,-2.812,-2.740,-2.635,-2.550,-2.436,-2.369
12000,-3.432,-3.312,-3.182,-3.113,-3.031,-2.955,-2.880,-2.825,-2.721,-2.637,-2.533
12200,-3.630,-3.527,-3.401,-3.343,-3.276,-3.214,-3.138,-3.051,-2.957,-2.841,-2.728
12400,-3.827,-3.744,-3.611,-3.526,-3.460,-3.400,-3.317,-3.260,-3.170,-3.046,-2.947
12600,-3.901,-3.806,-3.690,-3.618,-3.561,-3.500,-3.438,-3.370,-3.297,-3.203,-3.103
12800,-3.866,-3.763,-3.654,-3.572,-3.501,-3.439,-3.368,-3.296,-3.212,-3.094,-3.014
13000,-3.731,-3.652,-3.525,-3.435,-3.371,-3.314,-3.263,-3.192,-3.102,-2.987,-2.897
13200,-3.745,-3.658,-3.536,-3.457,-3.375,-3.306,-3.253,-3.192,-3.093,-3.005,-2.907
13400,-3.842,-3.765,-3.668,-3.599,-3.530,-3.451,-3.393,-3.307,-3.228,-3.122,-3.036
13600,-4.011,-3.925,-3.811,-3.722,-3.645,-3.581,-3.513,-3.454,-3.380,-3.282,-3.183
13800,-4.130,-4.032,-3.909,-3.823,-3.750,-3.691,-3.618,-3.539,-3.477,-3.388,-3.295
14000,-4.330,-4.234,-4.116,-4.027,-3.945,-3.882,-3.800,-3.731,-3.635,-3.506,-3.430
14200,-4.592,-4.470,-4.330,-4.230,-4.147,-4.075,-4.023,-3.951,-3.881,-3.754,-3.637
14400,-4.813,-4.698,-4.570,-4.470,-4.387,-4.302,-4.242,-4.159,-4.066,-3.956,-3.792
14600,-5.051,-4.910,-4.790,-4.700,-4.616,-4.542,-4.473,-4.384,-4.294,-4.168,-4.058
14800,-5.292,-5.169,-5.014,-4.939,-4.867,-4.774,-4.709,-4.603,-4.489,-4.330,-4.234
