"Median Age [kyrs]","Depth (cm)","Ti/Ca","Fe/Ca","Fe/K","Mn","Total Counts"
18.01541314,392,0.183034387,2.493806362,14.89934873,36.2,4011.6
18.06485533,394,0.141341292,2.056453619,15.32242125,41.1,4146.9
18.1188099575,396,0.140368098,1.927198364,14.42743417,17.4,4014.3
18.1693931725,398,0.136289127,1.974318945,14.43664384,33.8,4276.5
18.222274425,400,0.115679591,1.734909814,14.85167173,40.4,4322.6
18.2727931075,402,0.10690439,1.798195766,15.96153846,30.2,4373.3
18.3205632575,404,0.097582529,1.486019062,15.33745928,47.1,4408.3
18.3722536575,406,0.08583343,1.340206186,14.26633785,33.5,4497.2
18.4208844375,408,0.076611871,1.143647258,14.22420382,26.3,4644.6
18.4710627,410,0.059321682,0.837228611,12.93649775,21,4898.5
18.5217316725,412,0.059112501,0.738053672,12.03907285,22.5,4749.9
18.6555062,414,0.051543414,0.752393529,13.22117476,32.5,4672.4
18.7734804425,416,0.06590839,0.840232773,13.23541667,23.8,4620.6
18.90728725,418,0.057776528,0.759773394,12.89025222,30.2,4821.9
19.0695634985,420,0.05633566,0.737828975,14.05124099,29.4,4530.4
19.21675279,422,0.051135697,0.668478048,12.12695035,28.8,4703
19.384859264,424,0.054663333,0.669011399,12.27682737,27.4,4356.7
19.5526275875,426,0.050765611,0.626852119,11.91215686,22.7,4356.8
19.7128191325,428,0.051715783,0.664243866,11.73463035,35.6,4180.3
19.88982363,430,0.062846667,0.700291436,12.48784577,40.7,4046.6
20.05696148,432,0.049432592,0.65283704,12.484375,28.3,4007.6
20.2160672715,434,0.056945561,0.667644138,11.91223629,28,3923.6
20.3805870475,436,0.057880089,0.668474928,12.14310197,23.8,3903.9
20.528959525,438,0.058829057,0.657550982,12.2754386,21,3892.4
20.6666681625,440,0.052188644,0.750259577,13.35505837,26.3,3541.9
20.8249838,442,0.063743552,0.741604379,11.63418662,18.3,3674
20.9852993875,444,0.068436356,0.804382942,11.52700617,20,3726.8
21.1338658775,446,0.083217351,0.978021341,12.23875181,34.1,3816.2
21.45769895,450,0.073397846,0.837563143,11.80274443,34,3346.6
21.6152640825,452,0.07409063,0.85762977,11.93545879,24.4,3683
21.7904786425,454,0.082093726,0.904484957,11.91893884,40.2,3798.8
21.9688486775,456,0.105846282,1.226604418,13.1758982,34.6,3562.5
22.1397939925,458,0.085238584,0.911745189,10.96806967,19.6,3534.5
22.308297142,460,0.07456523,0.925085791,12.68341308,25.8,3664.9
22.47577766,462,0.078477934,0.926908375,12.0693816,24.9,3704.8
22.6323484475,464,0.089324068,1.103095389,12.99255952,17.5,3714.4
22.803419245,466,0.081861674,1.008327919,12.21173104,29.1,3785.9
22.95371465,468,0.079619727,1.019073084,12.41027496,16.2,3766.6
23.0823391,470,0.090350259,1.110904783,11.82617587,31.5,3703.1
23.233266135,472,0.087818357,1.104997597,12.49728261,23.3,3903.2
23.3411194035,474,0.094406307,1.278325291,13.46313529,14.3,3729
23.4392505815,476,0.107764164,1.306911257,13.79071429,16.5,3802.7
23.5370904475,478,0.094513571,1.255882922,14.19825073,22.5,3895.9
23.644948165,480,0.105469296,1.416421877,14.85840059,30.9,3846.4
23.745885325,482,0.101551957,1.310323887,14.34194978,27.6,3828.4
23.851102555,484,0.102490502,1.70088645,14.80308597,30.6,3560.5
23.954285625,486,0.109571788,1.73543241,14.91269841,22.6,3633.4
24.055191875,488,0.134323082,1.875044185,16.23412395,23.7,3623.6
24.1564933125,490,0.149334232,2.054272712,16.08976898,42.9,4054.9
24.25128531,492,0.166247611,2.13848939,14.01647989,30.4,3518.1
24.3604805025,494,0.222365039,3.48907455,15.21793973,25.9,3156.1
24.466122875,496,0.210354857,2.836649215,16.67647059,41.3,3737.6
24.56637607,498,0.167016807,2.375840336,16.84139985,43.6,3621.9
24.6696516275,500,0.158855292,2.537796976,15.64580559,37.5,3687.6
24.771701845,502,0.286916055,4.379273313,17.79418182,36.2,3405.7
24.877885825,504,0.380121043,5.531424581,15.8314457,23.4,3195.2
24.98588704875,506,0.473135525,6.775461107,17.34907598,45.4,3338.7
25.0900217575,508,0.46510456,6.941798942,18.27055703,46.3,3595.6
25.19653159,510,0.49745028,6.972972973,17.21082442,47.8,3577.4
25.3037480325,512,0.627741736,8.534445474,16.48329356,42.7,3545.7
25.4074854975,514,0.539789587,7.585379013,16.54058824,47.9,3647.7
25.5117732225,516,0.521509434,7.141132075,17.18280872,40,3713.2
25.61653337,518,0.486978566,6.532380733,17.42102028,49,3747.7
25.7184798675,520,0.363678516,4.160123648,14.58861789,39.7,3870.1
25.82271626,522,0.174925373,2.156929638,14.03440622,30.9,4189.3
25.92107751,524,0.109614285,1.470928385,14.18382353,26.4,4316.1
26.0272014375,526,0.071215017,1.097142577,14.68832021,38.3,4699.6
26.1262988125,528,0.070796872,1.003537516,14.3637575,27,4738.1
26.2274833025,530,0.06736121,1.045716189,14.53835979,36.3,4730.8
26.328170712875,532,0.073339127,1.005600618,14.57522743,37,4585.1
26.4298753575,534,0.064238953,0.99386252,15.08695652,32.5,4810.2
26.53462895,536,0.063505385,0.958455728,14.050581,29.4,4611.3
26.6286244275,538,0.069978209,1.057002773,15.36573074,34.6,4590.5
26.725323775,540,0.067770932,0.981113019,14.55280899,20.2,4295.3
26.8284032925,542,0.067450128,0.989531898,14.57454545,26.1,4416
26.928726895,544,0.065595325,0.918431945,15.10008006,34.2,4311.2
27.017487575,546,0.062555283,0.933169533,15.32687651,22.1,4300.3
27.2067266,550,0.061124258,0.819707997,13.78303303,23.8,4469
27.2994052775,552,0.067768821,0.883135219,14.24761205,35.1,4553.3
27.39775285,554,0.060922713,0.894518927,14.25608798,22.9,4193.8
