"Median Age [kyrs]","dw [permil]","Q0.025","Q0.16","Q0.84","Q0.975"
6.54136255,-0.352943942319451,-0.946407469237031,-0.659451569817564,-0.046868174492036,0.278058713995178
7.51806845,-0.470419519792709,-1.07405905184726,-0.771644644009461,-0.172818103351828,0.121197475820591
7.998910525,-0.471307618429696,-1.06148670164831,-0.772011738465344,-0.17043343032721,0.11405600796394
9.481819045,-0.420774900016195,-1.03485136569291,-0.724637790114679,-0.109046893562436,0.219776387974748
9.950790025,-0.286589007377458,-0.989206884983931,-0.652562556999789,0.0782772407959998,0.434930001253731
10.432991975,-0.0237764157496449,-0.771170413915132,-0.374817784837861,0.324584063426524,0.630762219685949
11.3153404545,0.43072435830935,-0.307050995621005,0.0295270052293062,0.83899220371967,1.21587085190322
11.6179291,0.649966094229078,-0.0574214204553824,0.301875339226404,0.997012731518826,1.32892023095245
11.938894975,0.638795268958932,0.0159408947785086,0.316292533901788,0.96051179243665,1.29112577005632
12.081682785,0.612639284236291,-0.0242166833257823,0.276209336088924,0.959264719403133,1.32722343065035
12.193310475,0.682471294567387,-0.0129158203031839,0.307309700777254,1.0670459310272,1.46060375551372
12.297577135,0.775942260242858,0.0270032240641708,0.381110130256586,1.17822194112598,1.53406439964246
12.4118779,0.838912624599298,0.0966392453468788,0.445706628726785,1.23064695345216,1.5821138465365
12.5239988,0.892392895119318,0.142184564490169,0.484712414672179,1.28991053362659,1.66189804808016
12.63249195,0.976822615872617,0.17868565078766,0.564026130790776,1.39121389233022,1.72130853627862
12.8538964975,1.1544876277717,0.390611764881422,0.807812969312593,1.4980345063551,1.83266776887088
12.9626420525,1.19751044779164,0.518319288760815,0.870673142219982,1.52133207695314,1.86005848896205
13.1793429925,1.31195511294337,0.658883116075196,0.973649970694432,1.65342843845724,2.00547812140681
15.56298236,1.28741129860183,0.493503482198543,0.894347187845503,1.67312254061273,2.03171677444029
16.594674675,1.45107273678907,0.780860767502269,1.11827942362652,1.77866869152249,2.12180794410212
16.750108475,1.49471224810831,0.819240846425351,1.16437194377549,1.82197768249428,2.13635339302978
16.903401655,1.40958372446547,0.766148822502795,1.08676066440354,1.73420782380513,2.06874146475493
17.5175514,1.5023835783293,0.804030647746334,1.13441415523929,1.8666675728782,2.19987135804618
17.644120775,1.62908892463822,0.892473634551195,1.27969821624377,1.97552118993561,2.28888073349475
17.8999095625,1.75067540136399,1.11079945953277,1.45044529764263,2.05658763076662,2.33807220513831
18.1565571675,1.84950727067141,1.16615954478689,1.48847995395033,2.20859813642334,2.66862764298352
18.4091685175,2.1330055362298,1.35726060102494,1.7381945693528,2.529275440645,2.92516412892958
19.2580450625,2.21215167823326,1.60093779714028,1.9146504872847,2.50996476896273,2.81280531028117
20.096257265,2.02382064854652,1.41593441329438,1.71709655730207,2.32990366758599,2.63310071584848
20.4950953525,1.93310730574422,1.36873308902154,1.63835430618271,2.2234960951169,2.53829860324217
20.8651392935,1.86454854930149,1.23805728265784,1.5468099561738,2.18005171068689,2.50230450941382
21.2462468,2.02701293734669,1.34389525230339,1.71034353114648,2.34331900471322,2.66528717605912
21.6565205075,1.84757568077891,0.854345814740719,1.41952012807366,2.27237332873301,2.61053961396307
22.097481635,1.52782487961284,0.672344215632793,1.05153346339898,2.01688678167049,2.42489407932328
22.51211749,1.37401860129486,0.66769435506041,0.997836615587704,1.7584763173605,2.17389539558421
22.9201315325,1.42746730496825,0.740051723797253,1.07645524154562,1.77377466845502,2.14610785117488
