Depth [cm],BWT [deg C]
52.5,10.04
67.5,8.51
72.5,8.79
87.5,8.56
92.5,8.85
97.5,9.87
117.5,12.29
127,14.07
137.5,14.16
142.5,13.09
147.5,13.31
152.5,12.97
157.5,13.64
162.5,14.05
167.5,13.78
177.5,13.59
182.5,13.09
192.5,12.89
257.5,12.17
317.5,13.98
327.5,15.13
337.5,13.02
372.5,12.45
377.5,13.67
387.5,14.48
397.5,14.02
407.5,14.97
422.5,15.81
432.5,14.22
437.5,13.30
442.5,13.43
447.5,14.21
452.5,12.93
457.5,10.02
462.5,10.42
467.5,12.38
