Age [ka],delta O-18,error [+],error [-]
314,0.14,0.18,0.11
315.5,0.16,0.17,0.11
317,0.18,0.17,0.11
318.5,0.18,0.17,0.11
320,0.18,0.14,0.11
321.5,0.15,0.14,0.11
323,0.07,0.16,0.11
324.5,0.02,0.17,0.11
326,0.01,0.15,0.11
327.5,-0.01,0.14,0.11
329,-0.03,0.15,0.11
330.5,-0.04,0.17,0.11
332,-0.03,0.22,0.11
333.5,0.05,0.31,0.11
335,0.25,0.36,0.11
336.5,0.45,0.31,0.11
338,0.66,0.20,0.11
339.5,0.84,0.14,0.11
341,0.97,0.11,0.12
342.5,1.06,0.11,0.22
344,1.07,0.11,0.26
345.5,1.00,0.11,0.25
347,0.89,0.11,0.22
348.5,0.75,0.11,0.17
350,0.61,0.13,0.11
351.5,0.72,0.11,0.24
353,0.67,0.11,0.21
354.5,0.61,0.11,0.13
356,0.57,0.11,0.12
357.5,0.52,0.11,0.11
359,0.45,0.15,0.11
360.5,0.46,0.13,0.11
362,0.45,0.13,0.11
363.5,0.43,0.13,0.11
365,0.39,0.12,0.11
366.5,0.35,0.11,0.11
368,0.35,0.11,0.16
369.5,0.37,0.11,0.20
371,0.34,0.11,0.18
372.5,0.29,0.12,0.11
374,0.26,0.19,0.11
375.5,0.23,0.25,0.11
377,0.21,0.27,0.11
378.5,0.21,0.24,0.11
380,0.21,0.18,0.11
381.5,0.18,0.17,0.11
383,0.16,0.17,0.11
384.5,0.13,0.18,0.11
386,0.11,0.19,0.11
387.5,0.08,0.18,0.11
389,0.05,0.18,0.11
390.5,0.06,0.16,0.11
392,0.04,0.16,0.11
393.5,0.03,0.15,0.11
395,0.01,0.15,0.11
396.5,-0.01,0.15,0.11
398,-0.02,0.14,0.11
399.5,-0.04,0.14,0.11
401,-0.05,0.13,0.11
402.5,-0.05,0.11,0.12
404,-0.04,0.11,0.15
405.5,-0.04,0.11,0.13
407,-0.05,0.12,0.11
408.5,-0.05,0.14,0.11
410,-0.03,0.15,0.11
411.5,-0.01,0.19,0.11
413,0.00,0.23,0.11
414.5,0.03,0.31,0.11
416,0.10,0.38,0.11
417.5,0.17,0.42,0.11
419,0.24,0.43,0.11
420.5,0.31,0.40,0.11
422,0.38,0.34,0.11
423.5,0.45,0.26,0.11
425,0.52,0.18,0.11
426.5,0.59,0.14,0.11
428,0.69,0.14,0.11
429.5,0.82,0.13,0.11
