Depth [cm],BWT [deg C]
52.5,7.43
67.5,6.25
72.5,6.47
87.5,6.29
92.5,6.51
97.5,7.30
117.5,9.18
127,10.57
137.5,10.64
142.5,9.81
147.5,9.98
152.5,9.71
157.5,10.23
162.5,10.55
167.5,10.34
177.5,10.19
182.5,9.81
192.5,9.65
257.5,9.09
317.5,10.49
327.5,11.39
337.5,9.75
372.5,9.30
377.5,10.26
387.5,10.88
397.5,10.53
407.5,11.26
422.5,11.92
432.5,10.68
437.5,9.96
442.5,10.07
447.5,10.67
452.5,9.68
457.5,7.42
462.5,7.74
467.5,9.25
