Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
5400,887.67,-34.78
5420,890.47,-35.1
5440,893,-34.35
5460,895.73,-34.81
5480,898.46,-34.91
5500,901.2,-34.47
5520,903.83,-34.53
5540,906.5,-34.7
5560,909.22,-34.36
5580,911.77,-34.22
5600,914.42,-35.06
5620,917.03,-34.78
5640,919.58,-35.19
5660,922.16,-33.88
5680,924.65,-35.2
5700,927.19,-35.18
5720,929.55,-34.51
5740,931.99,-35.25
5760,934.79,-34.69
5780,937.22,-34.71
5800,939.77,-34.55
5820,942.18,-34.5
5840,944.93,-34.71
5860,947.43,-35.02
5880,950.12,-34.71
5900,953.03,-33.95
5920,955.55,-34.2
5940,958.09,-34.61
5960,960.18,-34.91
5980,962.78,-34.73
6000,965.21,-34.85
6020,967.97,-35.03
6040,970.27,-34.77
6060,972.71,-34.78
6080,975.29,-35.49
6100,977.83,-34.27
6120,980.04,-35.17
6140,982.61,-34.71
6160,985.21,-34.39
6180,987.78,-34.42
6200,989.94,-34.89
6220,992.39,-34.89
6240,994.99,-34.58
6260,997.45,-34.6
6280,1000.34,-35.13
6300,1002.84,-34.38
6320,1005.35,-35.2
6340,1007.78,-34.55
6360,1010.77,-34.6
6380,1013.29,-34.86
6400,1015.62,-34.99
6420,1018.21,-34.23
6440,1020.62,-34.62
6460,1022.89,-34.07
6480,1025.55,-34.97
6500,1027.6,-34.32
6520,1029.94,-34.5
6540,1032.45,-34.53
6560,1034.79,-35.01
6580,1037.43,-34.97
6600,1039.75,-34.98
6620,1042.22,-34.45
6640,1044.88,-34.37
6660,1047.34,-34.61
6680,1049.75,-34.57
6700,1052.32,-34.74
6720,1054.83,-34.37
6740,1057.53,-34.49
6760,1060.01,-34.52
6780,1062.56,-34.58
6800,1064.83,-35.12
6820,1067.2,-34.69
6840,1069.6,-34.32
6860,1072.08,-34.36
6880,1074.49,-34.72
6900,1077.09,-34.56
6920,1079.59,-34.97
6940,1082.24,-34.32
6960,1084.41,-34.26
6980,1086.53,-35.11
7000,1088.77,-34.73
7020,1091.33,-34.47
7040,1093.71,-34.82
7060,1095.88,-34.9
7080,1098.2,-34.77
7100,1100.75,-34.4
7120,1103.61,-34.95
7140,1106,-34.97
7160,1108.25,-34.36
7180,1110.46,-35.28
7200,1112.82,-34.74
7220,1115.24,-34.68
7240,1117.64,-34.93
7260,1119.92,-34.87
7280,1122.07,-34.12
7300,1124.25,-34.84
7320,1126.65,-34.99
7340,1129.13,-34.73
7360,1131.51,-34.64
7380,1134.16,-34.74
7400,1136.34,-34.31
7420,1138.52,-34.55
7440,1141.01,-34.62
7460,1143.07,-34.5
7480,1145.4,-34.44
7500,1147.83,-33.88
7520,1150.16,-34.77
7540,1152.66,-34.78
7560,1155.07,-35.04
7580,1157.29,-34.34
7600,1159.81,-34.52
7620,1162.23,-34.08
7640,1164.07,-34.01
7660,1166.38,-34.88
7680,1168.31,-33.9
7700,1170.54,-34.01
7720,1173.11,-34.65
7740,1175.36,-34.26
7760,1177.35,-34.09
7780,1179.41,-34.75
7800,1182.27,-34.35
7820,1184.71,-34.13
7840,1186.97,-33.76
7860,1189.47,-34.35
7880,1191.64,-34.4
7900,1194.1,-34.62
7920,1196.22,-34.98
