"Depth in core, composite depth [cm]",Age [kyrs BP (2000)],Genus species,Mg/Ca  [mmol/mol],Sr/Ca [mmol/mol],Mn/Ca   [mmol/mol],Fe/Ca   [mmol/mol],Ba/Ca   [mmol/mol],Al/Ca   [mmol/mol],Duplicates
392.5,18.02808879,Uvigerina mediterranea,1.305,1.162,0.006,0.0398,0.00229,0.014,
397.5,18.15655717,Uvigerina mediterranea,1.396,1.163,0.006,0.04,0.00243,0.032,
402.5,18.28555662,Uvigerina mediterranea,1.088,1.175,0.0041,0.0438,0.00222,0.012,
407.5,18.40916852,Uvigerina mediterranea,1.347,1.156,0.0289,0.0853,0.00229,0.02,
412.5,18.55647724,Uvigerina mediterranea,1.203,1.166,0.0046,0.0323,0.00215,0.016,
417.5,18.86748833,Uvigerina mediterranea,1.251,1.156,0.0041,0.0301,0.00236,0.022,
422.5,19.25804506,Uvigerina mediterranea,1.089,1.171,0.002,0.0478,0.00196,0.032,
427.5,19.67207512,Uvigerina mediterranea,1.383,1.192,0.0045,0.0298,0.00222,0.018,
432.5,20.09625727,Uvigerina mediterranea,1.211,1.182,0.0025,0.0976,0.00344,0.028,
437.5,20.49509535,Uvigerina mediterranea,1.764,1.18,0.0116,0.1499,0.0023,0.077,
447.5,21.2462468,Uvigerina mediterranea,1.328,1.129,0.003,0.0579,0.00198,0.066,
452.5,21.65652051,Uvigerina mediterranea,1.358,1.175,0.0061,0.0404,0.00213,0.077,
457.5,22.09748164,Uvigerina mediterranea,1.077,1.183,0.0025,0.0349,0.00217,0.026,
462.5,22.51211749,Uvigerina mediterranea,1.147,1.168,0.0037,0.0814,0.00201,0.138,
472.5,23.25978025,Uvigerina mediterranea,1.121,1.148,0.0066,0.0471,0.00203,0.022,
477.5,23.51083247,Uvigerina mediterranea,1.224,1.116,0.0039,0.0277,0.00214,0.023,
482.5,23.77215646,Uvigerina mediterranea,1.265,1.112,0.0036,0.034,0.00198,0.012,
487.5,24.03032482,Uvigerina mediterranea,1.333,1.116,0.0037,0.0451,0.002,0.021,
492.5,24.27838778,Uvigerina mediterranea,1.347,1.232,0.0025,0.1082,0.00223,0.027,
497.5,24.54079123,Uvigerina mediterranea,1.294,1.125,0.0028,0.063,0.00194,0.031,
522.5,25.84431923,Uvigerina mediterranea,1.109,1.154,0.0032,0.0507,0.00234,0.043,
527.5,26.10070556,Uvigerina mediterranea,1.357,1.154,0.0042,0.0425,0.00221,0.033,
532.5,26.35299553,Uvigerina mediterranea,1.221,1.094,0.0051,0.0385,0.00207,0.022,
537.5,26.60642178,Uvigerina mediterranea,1.274,1.126,0.0046,0.0253,0.00209,0.012,
542.5,26.85394912,Uvigerina mediterranea,1.149,1.127,0.0036,0.0205,0.00188,0.008,
547.5,27.08493821,Uvigerina mediterranea,1.321,1.125,0.004,0.0891,0.00195,0.015,
