"","Infaunals[%]","Epibenthic[%]","Calcareous[%]","Porcellaneous[%]","Stress Species[%]","Oxic[%]","Suboxic[%]","Dysoxic[%]","EBFOI","Elevated Epifauna"
"0.18",20.4920049200492,4.10824108241082,23.370233702337,0,18.6469864698647,2.01722017220172,16.7281672816728,5.83025830258303,1.91881918819188,5.65805658056581
"0.72",19.6102922807894,5.37097177117162,24.0319760179865,0,18.0364726455159,2.14838870846865,18.0864351736198,4.7464401698726,2.27329502872845,4.7464401698726
"1.56",18.7854850654159,5.89977783263392,23.6978523821279,0,16.9587756109603,2.93754628486793,15.7491977289558,6.02320414712417,2.78943470747963,6.17131572451247
"2.6",17.9975278121137,6.72435105067985,23.5846724351051,0,15.7231149567367,3.04079110012361,16.2175525339926,5.46353522867738,3.68355995055624,6.42768850432633
"3.42",13.5034802784223,9.6983758700696,22.784222737819,0,13.2946635730858,4.82598607888631,14.1299303944316,4.26914153132251,7.09976798143852,9.97679814385151
"4.23",14.0095569070374,7.71068635968723,21.1772371850565,0,13.0973066898349,5.86446568201564,10.8601216333623,4.99565595134665,8.70981754995656,13.0321459600348
"5.04",11.6321009918846,10.9107303877367,21.3255184851217,0,10.5049594229035,6.33453561767358,12.8719567177637,3.33633904418395,9.69341749323715,12.1731289449955
"5.59",13.088376560999,10.9269932756964,23.2949087415946,0,12.2718539865514,4.37079731027858,15.2737752161383,4.37079731027858,6.55619596541787,9.12584053794428
"5.87",13.8909449790279,10.7821366888724,24.1302738712065,0,12.6079447322971,4.09573155687145,15.6920799407846,4.88527017024426,5.97088576363188,7.4019245003701
"6.2",14.2080553496417,10.501606127996,23.5977267111441,0.123548307388189,12.4783790462071,4.37361008154188,15.0234741784038,5.31257721769212,5.48554484803558,7.90709167284408
"6.53",14.1976771746859,9.50462194832899,22.3038634747571,0.426641384214269,13.1310737141503,4.95378051671012,12.8466461246741,5.90187248163072,6.51813225882911,9.24389665797582
"6.82",16.3191948238677,7.6443805415768,22.3819793913252,0.119817876827223,14.8574167265756,4.48118859333813,11.6702612029715,7.81212556913491,4.86460579918524,8.38725137790558
"7.12",15.1568825910931,10.1467611336032,23.6336032388664,0,12.8795546558704,3.4665991902834,16.6497975708502,5.18724696356275,4.37753036437247,6.83198380566802
"7.57",13.8104356151269,10.1244614648157,21.9961704164672,0.646242221158449,12.087123025371,5.98372426998564,11.7041646720919,6.24700813786501,7.25227381522259,8.85591191957875
"8.07",15.6043956043956,8.81562881562882,22.979242979243,0.43956043956044,13.5042735042735,3.36996336996337,15.2869352869353,5.76312576312576,3.71184371184371,9.52380952380952
"8.58",16.5196078431373,7.99019607843137,22.8676470588235,0.318627450980392,14.9754901960784,3.33333333333333,11.8137254901961,9.36274509803922,2.67156862745098,8.82352941176471
"9.06",14.9167270094135,9.2203717113203,22.4233647115617,0.434467776973208,12.1168235578084,5.21361332367849,11.9237267680425,6.99975862901279,5.81704079169684,9.65483948829351
"9.55",14.9834044570887,8.72451398767188,21.7638691322902,0.213371266002845,11.5220483641536,5.26315789473684,12.6126126126126,5.8321479374111,6.21147463252726,11.1427216690375
"10.03",12.1239954075775,10.8381171067738,21.1481056257176,1.01033295063146,9.82778415614236,6.91159586681975,10.1722158438576,5.87830080367394,8.42709529276694,12.8587830080367
"10.46",15.8980582524272,8.37378640776699,22.6456310679612,0.58252427184466,13.3980582524272,4.00485436893204,12.2572815533981,8.00970873786408,4.05339805825243,9.70873786407767
"10.82",15.3962264150943,9.76100628930818,23.874213836478,0.578616352201258,12.4528301886792,5.71069182389937,13.5849056603774,5.86163522012579,7.0440251572327,5.0314465408805
"10.98",9.18410935497651,12.1742844938061,20.5681332763776,0.256300726185391,7.43272105937633,9.52584365655703,7.64630499786416,4.20760358821017,13.0926954293037,15.3780435711235
"11.14",9.12555579081093,12.0474274825323,20.4742748253229,0.359940715646835,6.73300868092314,9.63370738937116,7.83400381113699,3.70527207283506,13.8471310607665,15.8797374550074
"11.3",9.00614536978173,12.1847849120576,20.3432930705658,0.33905488450943,5.89107861835135,9.72663699936427,8.30684467048104,3.15744861199407,14.0072049162958,16.5289256198347
"11.46",11.8805309734513,10.2433628318584,21.3053097345133,0.442477876106195,9.44690265486726,8.16371681415929,8.82743362831858,5.13274336283186,11.3716814159292,12.8318584070796
"11.62",8.66926744690074,13.0039011703511,20.74122236671,0.758560901603815,6.50195058517555,10.3814477676636,6.74035543996532,4.55136540962289,12.6354573038578,15.8214130905938
"11.78",15.0667986145473,9.67342899554676,23.67639782286,0.667986145472538,12.5680356259278,4.45324096981692,11.850569025235,8.43641761504206,5.04700643245918,8.16427511133102
"11.93",11.8139534883721,11.4418604651163,20.7209302325581,1.95348837209302,8.6046511627907,9.09302325581395,9.76744186046512,4.41860465116279,11.8372093023256,9.76744186046512
"12.08",13.8220873219706,9.52603315433108,22.134018211534,1.09736166238618,11.6273639971982,7.16787298622461,12.6079850572029,3.57226243287415,9.45598879290217,8.87228578099463
"12.19",8.01393728222997,12.4820659971306,19.3687230989957,1.12728018036483,5.77987292477967,11.2523058003689,7.72699323631892,1.51670424267268,15.9253945480631,16.8067226890756
