Age [ka],Depth [cm],FAI,Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,DO3[mL/L],OM,TR,Salinty,Time,DO3[umol/kg],BFI,Uvig_BWT [deg C],Mel_BWT [deg C],Mean d13C [o/oo],Mean d18O [o/oo],(2) porcentage - C. robertsonianus,Current Velocities (2)
12.3,152.5,13.8,63.4,36.6,95.5,4.5,0,49,25,53.8,21.3,30,2.6,LO,MS,0-5,YD_b,113.282,6,NaN,11.87,0.13,2.65,15.84,0.12
12.41,157.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.05,2.77,NaN,NaN
12.52,162.5,13.9,69,31,93.5,6.5,0,54,23.4,53.9,22.8,28.1,2.5,LO,EU,10-May,YD_b,108.925,6,NaN,12.47,0.01,2.86,11.00,0.10
12.63,167.5,15.9,69.2,30.8,91.3,8.3,0.4,48.2,23.8,54.5,21.7,31.7,2.6,LO,EU,10-May,YD,113.282,6,NaN,12.55,,,7.11,0.08
12.75,172.5,15.8,62.9,37.1,85,14.6,0.4,45.4,31.3,45.8,22.9,41.9,3.1,HO,MS,15-Oct,YD,135.067,6,NaN,NaN,-0.1,2.97,10.42,0.09
12.86,177.5,12.6,58.9,41.1,89.4,5.3,5.3,43,29.7,46.5,23.9,33.8,2.7,LO,MS,10-May,YD,117.639,6,7.93,12.22,-0.17,3.02,16.91,0.12
12.97,182.5,16.9,63.6,36.4,90,9.2,0.8,47.7,27.4,56.3,16.3,39.4,3,LO,MS,10-May,YD,130.71,6,NaN,11.99,-0.22,3.04,12.55,0.10
13.07,187.5,13.3,65.6,34.4,83,10.9,6.2,43.5,28.4,59,12.6,47.2,3.3,HO,MS,15-Oct,B-A,143.781,5,5.73,,-0.15,3.07,9.42,0.09
13.18,192.5,12.6,69.4,30.6,92.2,4.9,2.9,48.2,15.7,67.5,16.8,22.4,2.3,LO,EU,0-5,B-A,100.211,5,4.56,11.8,-0.02,3.14,6.94,0.08
13.29,197.5,12.3,84,16,97.4,2.6,0,63.5,8,70.2,21.8,11.2,1.9,LO,EU,0-5,B-A,82.783,5,NaN,NaN,0.09,3.24,5.86,0.08
13.49,202.5,13.5,74.8,25.2,93.1,5.3,1.6,44.3,15.7,75.6,8.6,25.6,2.4,LO,EU,10-May,B-A,104.568,5,4.62,NaN,0.03,3.38,10.16,0.09
13.72,207.5,9.4,81.5,18.5,96.7,2.2,1.1,43.1,9.8,85.5,4.7,18.8,2.1,LO,EU,0-5,B-A,91.497,5,6.06,NaN,-0.07,3.45,9.78,0.09
13.96,212.5,12.4,70.5,29.5,93.7,5.9,0.4,39.4,19.8,73.4,6.8,34,2.7,LO,EU,10-May,B-A,117.639,5,6.35,NaN,0.08,3.47,10.63,0.10
14.19,217.5,13.4,71.4,28.6,93.4,5.5,1.1,50.9,16.5,72,11.5,27.5,2.5,LO,EU,10-May,B-A,108.925,5,NaN,NaN,0.22,3.43,10.26,0.09
14.41,222.5,10.8,81.4,18.6,95.1,4.2,0.8,70.3,11.5,81,7.5,20.5,2.2,LO,EU,0-5,B-A,95.854,4c,5.17,NaN,0.19,3.36,9.13,0.09
14.62,227.5,14.3,63.2,36.8,78.9,20.6,0.5,53.4,32.4,52.6,15,44.4,3.2,HO,MS,20-30,B-A,139.424,4c,4.79,NaN,-0.02,3.32,9.80,0.09
14.82,232.5,13.8,44.7,55.3,68,31.1,0.9,32,46.7,48.9,4.3,71.9,4.4,HO,MS,20-30,HS1-Phase 4,191.708,4c,5.19,NaN,-0.28,3.29,12.33,0.10
15.02,237.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,HS1-Phase 4,NaN,NaN,5.89,NaN,-0.39,3.18,NaN,NaN
15.22,242.5,17.7,46,54,69,31,0,28.6,48.8,40.7,10.5,76.5,4.7,HO,MS,20-30,HS1-Phase 4,204.779,4c,5.26,NaN,-0.24,3.03,9.68,0.09
15.39,247.5,15.6,49.5,50.5,69.4,30.6,0,35.2,47.2,34.4,18.3,62.3,4,HO,MS,20-30,HS1-Phase 4,174.28,4c,4.95,NaN,-0.06,3.06,7.87,0.08
15.48,252.5,15,53,47,72.1,27.9,0,41.4,40.4,43.7,15.8,56.2,3.7,HO,MS,20-30,HS1-Phase 4,161.209,4c,4.91,NaN,-0.06,3.17,7.91,0.08
15.56,257.5,19,68.3,31.7,81.3,17.1,1.6,52.8,31,49.5,19.5,46,3.2,HO,EU,15-20,HS1-Phase 4,139.424,4c,4.71,10.51,-0.1,3.27,6.50,0.08
15.64,262.5,14.2,65.3,34.7,76.2,22.2,1.7,54.8,32.3,38.3,29.4,41.7,3,HO,MS,20-30,HS1-Phase 4,130.71,4c,4.36,NaN,-0.09,3.32,6.28,0.08
15.71,267.5,13.7,64.7,35.3,79.3,20.3,0.4,53.9,31.8,45.3,22.9,44.2,3.2,HO,MS,20-30,HS1-Phase 4,139.424,4c,4.05,NaN,0,3.3,8.71,0.09
15.79,272.5,9.9,68.3,31.7,84,16,0,59.7,29.1,32.7,38.2,32.9,2.7,LO,EU,15-20,HS1-Phase 3,117.639,4b,NaN,NaN,0.19,3.21,9.05,0.09
15.89,277.5,8.2,79.8,20.2,90.8,9.2,0,69.7,16.2,29.9,53.9,9.9,1.8,LO,EU,10-May,HS1-Phase 3,78.426,4b,NaN,NaN,0.39,3.04,7.56,0.08
15.98,282.5,8.1,84.9,15.1,90.5,9.1,0.4,77,13,32.1,54.9,6,1.7,LO,EU,10-May,HS1-Phase 3,74.069,4b,NaN,NaN,0.43,2.92,5.16,0.08
16.08,287.5,9.8,78.7,21.3,92.8,6.8,0.4,66.7,19.9,39.8,40.3,21.9,2.3,LO,EU,10-May,HS1-Phase 3,100.211,4b,5.01,NaN,0.33,2.87,11.65,0.10
16.18,292.5,8.5,77.3,22.7,86.6,13.4,0,71.7,20.4,39.6,40,23.2,2.3,LO,EU,15-Oct,HS1-Phase 3,100.211,4b,NaN,NaN,0.21,2.89,5.26,0.08
16.27,297.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,5.83,NaN,0.2,2.94,NaN,NaN
16.36,302.5,13.5,66.4,33.6,81.2,16.6,2.2,52.8,31.4,44.9,23.7,44.1,3.2,HO,EU,15-20,HS1-Phase2,139.424,4a,5.11,NaN,0.3,2.99,11.79,0.10
16.44,307.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,4.5,NaN,0.38,3.03,NaN,NaN
16.52,312.5,15.7,58,42,83.5,15.6,0.8,49.8,36.1,45.8,18.1,55.4,3.6,HO,MS,15-20,HS1-Phase2,156.852,4a,4.2,NaN,0.38,3.05,14.81,0.11
16.59,317.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,4.1,NaN,0.35,3.06,NaN,NaN
16.67,322.5,15.1,54.3,45.7,80.9,17.4,1.8,47.2,38.1,47.6,14.3,67.2,4.2,HO,MS,15-20,HS1-Phase2,182.994,4a,4.06,NaN,0.34,3.06,17.02,0.12
16.75,327.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,4.02,NaN,0.35,3.08,NaN,NaN
16.82,332.5,11.2,49,51,77.1,22.9,0,47.8,44.9,46.2,8.9,78.2,4.8,HO,MS,20-30,HS1-Phase2,209.136,4a,3.88,NaN,0.36,3.11,21.22,0.15
16.9,337.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,3.74,NaN,0.33,3.15,NaN,NaN
16.97,342.5,12.2,55.2,44.8,84.1,15.1,0.8,49.4,40.5,44.5,15,65.8,4.1,HO,MS,15-20,HS1-Phase2,178.637,4a,3.75,NaN,0.3,3.2,22.18,0.15
17.05,347.5,10.8,61,39,85.5,13.7,0.8,56,31.6,50.2,18.2,49.9,3.4,HO,MS,15-Oct,HS1-Phase2,148.138,4a,4.03,NaN,0.29,3.24,14.11,0.11
17.12,352.5,12.1,73.9,26.1,89.4,9.7,1,67.1,20.5,59,20.5,28.1,2.5,LO,EU,10-May,HS1-Phase2,108.925,4a,4.29,NaN,0.29,3.27,12.08,0.10
17.19,357.5,10.7,52.4,47.6,81.3,17.1,1.6,46.3,43,43,14,71.7,4.4,HO,MS,15-20,HS1-Phase2,191.708,4a,4.31,NaN,0.29,3.27,19.51,0.14
17.27,362.5,12.1,48.7,51.3,86.7,12.8,0.4,44.2,44.3,40.6,15.1,69.5,4.3,HO,MS,15-Oct,HS1-Phase2,187.351,4a,4.21,NaN,0.29,3.25,27.88,0.20
17.39,367.5,11.3,64.4,35.6,81.2,18,0.8,61.9,28.8,52.4,18.8,45.9,3.2,HO,MS,15-20,HS1-Phase2,139.424,4a,4.44,NaN,0.29,3.25,9.62,0.09
17.51,372.5,11.4,65.1,34.9,83.2,14.7,2.2,58.6,26.5,62.3,11.2,44,3.1,HO,MS,15-Oct,HS1-Phase2,135.067,4a,4.87,11.34,0.3,3.28,11.64,0.10
17.64,377.5,14.6,73.4,26.6,89.3,10.2,0.4,68,20.4,63.9,15.7,33.6,2.7,LO,EU,15-Oct,HS1-Phase2,117.639,4a,5.06,12.06,0.31,3.32,5.74,0.08
17.77,382.5,8,91.5,8.5,96,3.3,0.6,89.7,5.3,92.1,2.5,12.8,1.9,LO,EU,0-5,HS1-Phase 1,82.783,3,5.08,NaN,0.32,3.34,2.43,0.07
17.89,387.5,10.2,73.5,26.5,85.5,13.3,1.2,71.1,22.2,72,5.9,41.9,3.1,HO,EU,15-Oct,HS1-Phase 1,135.067,3,5.07,13,0.33,3.36,8.84,0.09
18.02,392.5,11.5,84.8,15.2,94.2,5.5,0.3,81.2,10,80.7,9.3,21.8,2.3,LO,EU,10-May,HS1-Phase 1,100.211,3,4.99,NaN,0.36,3.37,3.94,0.07
18.16,397.5,9.1,79.5,20.5,91.8,7.5,0.7,77.2,15.6,76.7,7.6,30.9,2.6,LO,EU,10-May,HS1-Phase 1,113.282,3,4.8,13.38,0.41,3.43,6.34,0.08
18.28,402.5,8.5,86.8,13.2,93.6,5.3,1.1,83.5,9.2,85.4,5.4,22.5,2.3,LO,EU,10-May,HS1-Phase 1,100.211,3,4.61,NaN,0.47,3.52,3.08,0.07
18.41,407.5,14.1,73,27,82,11.9,6.1,63.9,20.5,63.6,15.9,32.5,2.7,LO,EU,15-Oct,HS1-Phase 1,117.639,2,4.49,14.07,0.53,3.59,7.38,0.08
18.56,412.5,12.3,72.9,27.1,87.7,7.6,4.7,68.2,19.9,69.9,10.2,33.6,2.7,LO,EU,10-May,HS1-Phase 1,117.639,2,4.34,NaN,0.54,3.55,12.29,0.10
18.86,417.5,14.5,66.8,33.2,81.9,12.1,6,58.6,23.7,61.4,15,36.7,2.8,LO,EU,15-Oct,LGM,121.996,2,4.05,NaN,0.49,3.53,12.93,0.10
19.26,422.5,15.2,58.5,41.5,80.6,15.5,3.9,52.3,26.4,64.3,9.4,47.3,3.3,HO,MS,15-20,LGM,143.781,2,4,NaN,0.53,3.58,14.34,0.11
19.68,427.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,4.79,NaN,0.56,3.6,NaN,NaN
20.11,432.5,14.7,57.9,42.1,81.5,12,6.6,46.7,28.9,61.3,9.8,49.9,3.4,HO,MS,15-Oct,LGM,148.138,2,6.02,12.6,0.52,3.62,18.92,0.14
20.51,437.5,13.3,45.6,54.4,77.2,19.8,3,40.1,29.5,59.5,11,46.6,3.3,HO,MS,15-20,LGM,143.781,2,7.96,12.1,0.46,3.64,10.97,0.10
20.87,442.5,11.3,48.5,51.5,74.5,23.8,1.7,46,31.6,58,10.4,55,3.6,HO,MS,20-30,LGM,156.852,2,NaN,11.9,0.55,3.55,8.37,0.09
21.25,447.5,14.3,48.4,51.6,75.3,22.2,2.5,44.7,32.8,59.7,7.5,62.1,4,HO,MS,20-30,LGM,174.28,2,5.87,11.99,0.65,3.73,4.73,0.07
21.66,452.5,16.2,53.5,46.5,83.7,12.7,3.7,43.7,29,59.9,11.1,48.3,3.3,HO,MS,15-Oct,LGM,143.781,2,4.75,10.86,0.26,3.89,16.73,0.12
22.09,457.5,15,53.7,46.3,81.3,15.7,3,49.6,25.5,64.9,9.6,47.7,3.3,HO,MS,15-20,LGM,143.781,2,3.68,9.52,-0.15,3.93,12.31,0.10
22.51,462.5,15.3,49.8,50.2,77.3,19.2,3.5,45.5,31.3,57.9,10.7,54.6,3.6,HO,MS,15-20,LGM,156.852,2,3.23,8.84,-0.04,3.79,15.69,0.12
22.91,467.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.24,3.59,NaN,NaN
23.25,472.5,15.5,67.3,32.7,84.3,12.9,2.8,61.3,26,58.6,15.4,42.7,3.1,HO,EU,15-Oct,pre-LGM,135.067,2,3.39,NaN,0.38,3.42,14.52,0.11
23.5,477.5,11.7,50,50,75,21.9,3.1,42.4,37.9,50.4,11.7,70.6,4.4,HO,MS,20-30,pre-LGM,191.708,2,4.08,NaN,0.49,3.47,15.97,0.12
23.76,482.5,17.6,54.9,45.1,80.3,16.5,3.2,46.5,37.1,48.4,14.5,64.7,4.1,HO,MS,15-20,HS2,178.637,2,4.68,NaN,0.52,3.49,19.37,0.14
24.01,487.5,14.4,50.6,49.4,83,13.8,3.2,45.8,37.1,54.1,8.7,64.5,4.1,HO,MS,15-Oct,HS2,178.637,1,5.02,NaN,0.5,3.47,22.13,0.15
24.26,492.5,16,59.2,40.8,85.2,11.6,3.2,52,34.8,49.1,16.1,56.9,3.7,HO,MS,15-Oct,HS2,161.209,1,5.08,NaN,0.45,3.47,21.60,0.15
24.53,497.5,12.8,47.5,52.5,84.9,14.3,0.8,41.6,40.9,38.7,20.4,63.7,4,HO,MS,15-Oct,HS2,174.28,1,4.89,NaN,0.35,3.51,15.13,0.12
24.79,502.5,8.8,72.7,27.3,85.1,14.9,0,68.5,22.3,55.5,22.3,38.7,2.9,LO,EU,15-Oct,HS2,126.353,1,NaN,NaN,0.23,3.55,7.96,0.08
25.05,507.5,14.2,77.6,22.4,91.5,6.7,1.8,70.4,15.3,70,14.8,22.9,2.3,LO,EU,10-May,HS2,100.211,1,NaN,NaN,0.08,3.55,8.97,0.09
25.31,512.5,11.8,68.5,31.5,76.5,23.5,0,60.5,27.3,62.1,10.6,43.1,3.1,HO,EU,20-30,HS2,135.067,1,NaN,NaN,NaN,NaN,4.50,0.07
25.57,517.5,16.2,68.3,31.7,80.9,16.5,2.6,57.4,26.2,53.4,20.4,38,2.9,LO,EU,15-20,HS2,126.353,1,NaN,NaN,-0.03,3.49,7.83,0.08
25.84,522.5,14,64,36,79.8,14.2,6.1,56.7,26.5,56.6,16.9,41.7,3,HO,MS,15-Oct,HS2,130.71,1,3.93,NaN,0.13,3.46,11.34,0.10
26.1,527.5,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,NaN,NaN,NaN,4.25,NaN,0.34,3.46,NaN,NaN
26.36,532.5,13.2,64,36,75.7,15.5,8.8,52.7,31.6,53.3,15.1,49.5,3.4,HO,MS,15-20,HS2,148.138,1,4.42,NaN,0.48,3.46,13.81,0.11
26.6,537.5,13.9,62.8,37.2,83.6,12.8,3.6,54.4,31.3,57.3,11.5,53.2,3.6,HO,MS,15-Oct,pre-LGM,156.852,1,4.31,NaN,0.54,3.45,20.40,0.14
26.85,542.5,13.3,59,41,83.7,11.7,4.7,51.7,29.6,52.7,17.7,54.8,3.6,HO,MS,15-Oct,pre-LGM,156.852,1,4.13,NaN,0.55,3.41,13.33,0.11
27.08,547.5,19,52.9,47.1,82.5,11.7,5.8,41.6,35.4,48.3,16.3,59.6,3.8,HO,MS,15-Oct,pre-LGM,165.566,1,4.21,NaN,0.54,3.39,21.53,0.15
