Age [ka],Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Elevated Epifauna
17.51,65.1,34.9,83.2,14.7,2.2,58.6,26.5,62.3,11.2,44,27
17.64,73.4,26.6,89.3,10.2,0.4,68,20.4,63.9,15.7,33.6,14
17.77,91.5,8.5,96,3.3,0.6,89.7,5.3,92.1,2.5,12.8,8
17.89,73.5,26.5,85.5,13.3,1.2,71.1,22.2,72,5.9,41.9,22
18.02,84.8,15.2,94.2,5.5,0.3,81.2,10,80.7,9.3,21.8,13
18.16,79.5,20.5,91.8,7.5,0.7,77.2,15.6,76.7,7.6,30.9,17
18.28,86.8,13.2,93.6,5.3,1.1,83.5,9.2,85.4,5.4,22.5,11
18.41,73,27,82,11.9,6.1,63.9,20.5,63.6,15.9,32.5,18
18.56,72.9,27.1,87.7,7.6,4.7,68.2,19.9,69.9,10.2,33.6,29
18.86,66.8,33.2,81.9,12.1,6,58.6,23.7,61.4,15,36.7,30
19.26,58.5,41.5,80.6,15.5,3.9,52.3,26.4,64.3,9.4,47.3,37
19.68,0,0,0,0,0,0,0,0,0,0,0
20.11,57.9,42.1,81.5,12,6.6,46.7,28.9,61.3,9.8,49.9,49
20.51,45.6,54.4,77.2,19.8,3,40.1,29.5,59.5,11,46.6,26
20.87,48.5,51.5,74.5,23.8,1.7,46,31.6,58,10.4,55,20
21.25,48.4,51.6,75.3,22.2,2.5,44.7,32.8,59.7,7.5,62.1,13
21.66,53.5,46.5,83.7,12.7,3.7,43.7,29,59.9,11.1,48.3,41
22.09,53.7,46.3,81.3,15.7,3,49.6,25.5,64.9,9.6,47.7,33
22.51,49.8,50.2,77.3,19.2,3.5,45.5,31.3,57.9,10.7,54.6,40
22.91,0,0,0,0,0,0,0,0,0,0,0
23.25,67.3,32.7,84.3,12.9,2.8,61.3,26,58.6,15.4,42.7,36
23.5,50,50,75,21.9,3.1,42.4,37.9,50.4,11.7,70.6,46
23.76,54.9,45.1,80.3,16.5,3.2,46.5,37.1,48.4,14.5,64.7,55
24.01,50.6,49.4,83,13.8,3.2,45.8,37.1,54.1,8.7,64.5,56
24.26,59.2,40.8,85.2,11.6,3.2,52,34.8,49.1,16.1,56.9,54
24.53,47.5,52.5,84.9,14.3,0.8,41.6,40.9,38.7,20.4,63.7,36
24.79,72.7,27.3,85.1,14.9,0,68.5,22.3,55.5,22.3,38.7,23
25.05,77.6,22.4,91.5,6.7,1.8,70.4,15.3,70,14.8,22.9,20
25.31,68.5,31.5,76.5,23.5,0,60.5,27.3,62.1,10.6,43.1,9
25.57,68.3,31.7,80.9,16.5,2.6,57.4,26.2,53.4,20.4,38,18
25.84,64,36,79.8,14.2,6.1,56.7,26.5,56.6,16.9,41.7,28
26.1,0,0,0,0,0,0,0,0,0,0,0
26.36,64,36,75.7,15.5,8.8,52.7,31.6,53.3,15.1,49.5,33
26.6,62.8,37.2,83.6,12.8,3.6,54.4,31.3,57.3,11.5,53.2,51
26.85,59,41,83.7,11.7,4.7,51.7,29.6,52.7,17.7,54.8,40
27.08,52.9,47.1,82.5,11.7,5.8,41.6,35.4,48.3,16.3,59.6,59
