depth	min	max	median	mean
203.5	13258	13952	13538	13556
204.5	13284	13998	13585	13601
205.5	13305	14063	13630	13646
206.5	13323	14142	13673	13691
207.5	13358	14205	13717	13736
208.5	13401	14240	13764	13781
209.5	13435	14280	13813	13825
210.5	13461	14331	13860	13870
211.5	13483	14395	13905	13915
212.5	13524	14446	13951	13960
213.5	13578	14474	13996	14004
214.5	13619	14510	14043	14048
215.5	13649	14550	14091	14092
216.5	13676	14602	14136	14137
217.5	13729	14643	14180	14181
218.5	13793	14670	14223	14226
219.5	13846	14701	14269	14270
220.5	13887	14737	14315	14315
221.5	13920	14786	14363	14360
222.5	13985	14825	14406	14405
223.5	14073	14847	14447	14450
224.5	14149	14875	14489	14495
225.5	14208	14906	14535	14540
226.5	14252	14948	14580	14585
227.5	14298	14989	14622	14628
228.5	14341	15021	14663	14668
229.5	14373	15063	14705	14708
230.5	14398	15114	14746	14748
231.5	14419	15178	14786	14788
232.5	14459	15225	14824	14829
233.5	14506	15256	14865	14869
234.5	14545	15290	14907	14909
235.5	14576	15334	14949	14949
236.5	14600	15386	14990	14989
237.5	14646	15428	15028	15028
238.5	14702	15453	15065	15067
239.5	14744	15482	15105	15105
240.5	14782	15516	15145	15144
241.5	14810	15554	15186	15183
242.5	14869	15586	15222	15222
243.5	14954	15610	15257	15261
244.5	15028	15636	15292	15301
245.5	15088	15669	15329	15341
246.5	15134	15706	15368	15381
247.5	15162	15736	15396	15409
248.5	15182	15754	15413	15426
249.5	15198	15771	15430	15443
250.5	15210	15792	15447	15460
251.5	15222	15816	15463	15477
252.5	15238	15838	15480	15493
253.5	15258	15850	15495	15509
254.5	15275	15866	15512	15525
255.5	15288	15884	15528	15541
256.5	15299	15901	15544	15557
257.5	15315	15918	15560	15573
258.5	15335	15930	15575	15589
259.5	15352	15945	15591	15604
260.5	15365	15962	15607	15620
261.5	15379	15980	15623	15636
262.5	15397	15997	15638	15652
263.5	15418	16011	15654	15668
264.5	15436	16025	15669	15683
265.5	15451	16041	15684	15699
266.5	15465	16058	15701	15715
267.5	15484	16074	15716	15730
268.5	15507	16088	15731	15746
269.5	15527	16103	15746	15762
270.5	15543	16118	15762	15778
271.5	15556	16134	15778	15794
272.5	15575	16152	15796	15811
273.5	15594	16167	15815	15830
274.5	15609	16186	15834	15849
275.5	15622	16207	15853	15867
276.5	15632	16229	15872	15886
277.5	15650	16250	15890	15905
278.5	15672	16268	15909	15924
279.5	15690	16289	15928	15943
280.5	15704	16310	15948	15962
281.5	15718	16332	15967	15980
282.5	15735	16352	15986	15999
283.5	15756	16368	16005	16018
284.5	15774	16387	16024	16037
285.5	15789	16407	16044	16056
286.5	15802	16429	16063	16075
287.5	15822	16450	16082	16094
288.5	15845	16465	16100	16113
289.5	15863	16482	16120	16132
290.5	15880	16499	16139	16150
291.5	15892	16521	16158	16169
292.5	15914	16539	16176	16188
293.5	15941	16555	16194	16206
294.5	15963	16571	16212	16225
295.5	15981	16588	16232	16244
296.5	15996	16606	16251	16263
297.5	16021	16625	16269	16281
298.5	16052	16636	16287	16300
299.5	16079	16653	16304	16319
300.5	16100	16669	16323	16338
301.5	16117	16689	16342	16357
302.5	16134	16708	16360	16374
303.5	16149	16724	16376	16390
304.5	16162	16740	16392	16406
305.5	16175	16760	16408	16421
306.5	16187	16780	16423	16437
307.5	16201	16797	16439	16453
308.5	16217	16812	16454	16468
309.5	16230	16827	16470	16484
310.5	16243	16843	16486	16499
311.5	16253	16864	16502	16515
312.5	16266	16882	16518	16530
313.5	16283	16895	16533	16546
314.5	16297	16910	16548	16561
315.5	16309	16925	16564	16576
316.5	16320	16943	16579	16591
317.5	16336	16959	16594	16607
318.5	16354	16972	16610	16622
319.5	16370	16989	16625	16638
320.5	16384	17006	16641	16653
321.5	16395	17022	16657	16668
322.5	16411	17038	16672	16684
323.5	16429	17050	16687	16699
324.5	16445	17065	16702	16714
325.5	16458	17080	16717	16729
326.5	16470	17098	16732	16745
327.5	16487	17113	16748	16760
328.5	16507	17126	16763	16775
329.5	16524	17141	16779	16791
330.5	16538	17157	16795	16806
331.5	16550	17171	16811	16821
332.5	16567	17185	16826	16837
333.5	16588	17198	16841	16852
334.5	16605	17213	16856	16867
335.5	16620	17228	16871	16882
336.5	16633	17245	16887	16898
337.5	16652	17259	16902	16913
338.5	16673	17273	16916	16928
339.5	16691	17285	16931	16944
340.5	16708	17299	16947	16959
341.5	16723	17314	16962	16974
342.5	16743	17329	16977	16990
343.5	16767	17340	16991	17005
344.5	16789	17353	17006	17021
345.5	16807	17369	17021	17036
346.5	16821	17385	17036	17052
347.5	16836	17400	17051	17067
348.5	16853	17412	17065	17081
349.5	16867	17426	17080	17095
350.5	16881	17442	17094	17110
351.5	16892	17458	17109	17124
352.5	16906	17472	17123	17139
353.5	16923	17485	17137	17153
354.5	16938	17498	17152	17167
355.5	16950	17514	17167	17182
