depth	min	max	median	mean
203.5	13257	13979	13540	13560
204.5	13283	14025	13587	13605
205.5	13306	14085	13634	13649
206.5	13325	14156	13677	13694
207.5	13361	14211	13720	13738
208.5	13406	14243	13766	13783
209.5	13440	14282	13815	13827
210.5	13465	14331	13862	13871
211.5	13488	14391	13908	13915
212.5	13530	14438	13953	13960
213.5	13584	14469	13998	14005
214.5	13626	14505	14046	14050
215.5	13658	14548	14093	14095
216.5	13683	14602	14140	14140
217.5	13734	14649	14184	14184
218.5	13800	14673	14228	14229
219.5	13848	14703	14273	14274
220.5	13889	14741	14319	14318
221.5	13920	14788	14364	14363
222.5	13985	14827	14405	14407
223.5	14072	14849	14447	14452
224.5	14147	14876	14490	14496
225.5	14205	14913	14533	14540
226.5	14251	14956	14579	14585
227.5	14299	14995	14621	14627
228.5	14344	15033	14662	14668
229.5	14375	15076	14705	14709
230.5	14402	15131	14745	14749
231.5	14423	15198	14784	14790
232.5	14458	15247	14823	14830
233.5	14507	15276	14862	14869
234.5	14542	15311	14904	14909
235.5	14570	15350	14945	14948
236.5	14593	15397	14985	14988
237.5	14638	15438	15023	15027
238.5	14697	15464	15062	15067
239.5	14745	15491	15103	15106
240.5	14782	15525	15145	15146
241.5	14812	15565	15186	15186
242.5	14872	15601	15223	15225
243.5	14956	15623	15257	15265
244.5	15031	15650	15293	15304
245.5	15091	15680	15330	15343
246.5	15135	15717	15370	15383
247.5	15163	15745	15398	15411
248.5	15180	15764	15414	15428
249.5	15197	15783	15431	15445
250.5	15210	15803	15448	15462
251.5	15221	15824	15466	15479
252.5	15237	15842	15482	15495
253.5	15256	15858	15497	15511
254.5	15273	15876	15513	15527
255.5	15286	15896	15529	15543
256.5	15300	15914	15545	15559
257.5	15316	15930	15561	15575
258.5	15336	15944	15576	15591
259.5	15351	15960	15591	15607
260.5	15366	15976	15607	15622
261.5	15379	15992	15623	15638
262.5	15396	16008	15638	15654
263.5	15417	16020	15654	15670
264.5	15435	16033	15669	15685
265.5	15450	16047	15685	15701
266.5	15464	16064	15701	15717
267.5	15483	16079	15716	15732
268.5	15506	16093	15731	15748
269.5	15526	16109	15746	15764
270.5	15543	16128	15762	15780
271.5	15556	16146	15778	15796
272.5	15574	16162	15796	15813
273.5	15594	16179	15815	15831
274.5	15609	16197	15834	15850
275.5	15623	16216	15853	15868
276.5	15635	16240	15871	15887
277.5	15652	16260	15890	15905
278.5	15673	16274	15909	15924
279.5	15690	16294	15928	15943
280.5	15703	16315	15948	15962
281.5	15716	16338	15966	15981
282.5	15734	16360	15985	16000
283.5	15756	16376	16005	16019
284.5	15775	16392	16024	16037
285.5	15790	16410	16043	16056
286.5	15804	16431	16062	16075
287.5	15821	16451	16081	16094
288.5	15845	16466	16100	16113
289.5	15865	16483	16119	16132
290.5	15881	16501	16138	16151
291.5	15895	16526	16158	16170
292.5	15916	16546	16176	16188
293.5	15940	16560	16194	16207
294.5	15962	16575	16213	16226
295.5	15979	16594	16232	16245
296.5	15995	16615	16252	16263
297.5	16020	16633	16270	16282
298.5	16052	16648	16287	16301
299.5	16077	16663	16305	16320
300.5	16098	16680	16324	16340
301.5	16115	16700	16343	16359
302.5	16132	16717	16361	16376
303.5	16148	16731	16377	16392
304.5	16162	16749	16393	16407
305.5	16174	16766	16408	16423
306.5	16185	16788	16424	16439
307.5	16200	16803	16439	16454
308.5	16216	16819	16455	16470
309.5	16231	16835	16470	16485
310.5	16243	16850	16486	16500
311.5	16253	16867	16501	16516
312.5	16268	16882	16517	16531
313.5	16286	16896	16532	16546
314.5	16301	16909	16548	16562
315.5	16314	16924	16563	16577
316.5	16324	16941	16578	16592
317.5	16339	16957	16594	16608
318.5	16356	16971	16609	16623
319.5	16370	16989	16625	16638
320.5	16383	17005	16641	16654
321.5	16395	17022	16656	16669
322.5	16410	17038	16671	16684
323.5	16430	17051	16687	16699
324.5	16446	17065	16703	16715
325.5	16460	17080	16718	16730
326.5	16471	17099	16733	16745
327.5	16488	17114	16749	16760
328.5	16507	17128	16763	16776
329.5	16523	17142	16779	16791
330.5	16537	17159	16794	16806
331.5	16551	17176	16810	16822
332.5	16568	17191	16825	16837
333.5	16588	17203	16840	16852
334.5	16606	17220	16855	16868
335.5	16621	17232	16871	16883
336.5	16634	17247	16887	16899
337.5	16654	17261	16902	16914
338.5	16677	17275	16916	16929
