Core ,Age [ka],Depth [cm],Infaunals[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Inferred Dissolve Oxygen Concentration [umol/kg],OM,TR,Time,Cibicidoides spp.,Cibicidoides (%) - Cib. Robtsonianus,(1) Elevated Epifaunal,(2)( Elevated Epifaunal - C. robertsonianus,(1) porcentage,(2) porcentage - C. robertsonianus,Current Velocities (1),Current Velocities (2),Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera
GeoB9512-5,17.77,382.5,91.5,89.6656535,6.382978723,84.80243161,3.951367781,17.94096728,92.06,LO,EU,HS1-Phase 1,2.43,1.52,11,8,3.343465046,2.431610942,0.069905676,0.067262371,0.6,0.9,0.9,0,1.5,1.2,0,0.6,0,75.7,3.6,0.6,2.1,1.2,0.3,0.3,0.3
GeoB9512-5,17.89,387.5,73.5,71.08433735,23.69477912,62.24899598,8.43373494,44.29845762,137.29,HO,EU,HS1-Phase 1,8.84,7.63,25,22,10.04016064,8.835341365,0.092779858,0.088172881,7.2,0.8,1.2,0.4,4.4,5.2,0.4,0.8,0,43.4,4.4,0,6.8,5.2,1.2,4,2
GeoB9512-5,18.02,392.5,84.8,81.21212121,12.42424242,68.18181818,7.272727273,26.63835466,106.18,LO,EU,HS1-Phase 1,3.64,2.73,16,13,4.848484848,3.939393939,0.07449761,0.071689046,2.1,0.6,0.9,0.6,5.2,2.4,1.5,0.9,0,45.8,10,0.9,9.1,3.6,0.9,1.5,0
GeoB9512-5,18.16,397.5,79.5,77.23880597,16.79104478,67.53731343,5.970149254,31.07325467,113.68,LO,EU,HS1-Phase 1,7.09,5.97,20,17,7.462686567,6.343283582,0.083202266,0.079356882,3.7,0.4,1.1,0,3,2.2,0.7,1.5,0,47.4,7.8,0,7.5,3,1.9,3.4,0
GeoB9512-5,18.28,402.5,86.8,83.47338936,11.48459384,71.14845938,6.162464986,24.56696332,102.75,LO,EU,HS1-Phase 1,3.64,2.8,14,11,3.921568627,3.081232493,0.071635047,0.069135044,2.8,0,0.8,0.3,4.2,1.7,1.1,0.8,0,57.7,9.8,0.3,5.6,2.2,1.4,1.1,0.3
GeoB9512-5,18.41,407.5,73,63.93442623,20.08196721,38.52459016,14.3442623,43.24751607,135.34,LO,EU,HS1-Phase 1,4.1,2.87,21,18,8.606557377,7.37704918,0.087324257,0.082901613,2,0,1.2,4.5,7.8,1.6,1.6,1.2,0.4,14.3,15.2,0.8,9.8,4.1,1.6,4.1,2.9
GeoB9512-5,18.56,412.5,72.9,68.22033898,24.15254237,47.03389831,8.474576271,41.36423817,131.88,LO,EU,HS1-Phase 1,10.59,9.32,32,29,13.55932203,12.28813559,0.107661447,0.102028885,5.5,0.8,1.3,2.1,5.9,3.8,0.8,0,0,23.7,12.7,2.5,11,0,4.2,3,0.4
GeoB9512-5,18.86,417.5,66.8,58.62068966,31.03448276,28.87931034,12.06896552,53.03927219,153.99,LO,EU,LGM,8.62,6.03,36,30,15.51724138,12.93103448,0.116951196,0.104839707,4.7,0.4,2.5,6.4,5.5,7.6,1.7,0.4,0.4,3.8,13.6,2.5,9.3,4.7,1.3,5.9,0.4
GeoB9512-5,19.26,422.5,58.5,52.3255814,31.00775194,28.68217054,8.914728682,70.33713618,189.80,HO,MS,LGM,7.36,3.1,48,37,18.60465116,14.34108527,0.133255416,0.111278743,3.1,1.6,4.3,9.7,3.5,4.3,0.8,0.4,0,0.8,16.3,2.3,12.8,6.6,0.4,5,3.5
GeoB9512-5,20.11,432.5,57.9,46.71814672,30.88803089,30.88803089,9.652509653,75.15550701,200.48,HO,MS,LGM,12.36,9.65,56,49,21.62162162,18.91891892,0.151381188,0.135037489,9.7,1.2,2.7,8.1,3.9,3.1,1.9,0,0.4,1.5,13.9,4.2,8.5,3.9,2.3,3.9,1.5
