Core ,Age [ka],Depth [cm],Infaunals[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Inferred Dissolve Oxygen Concentration [umol/kg],OM,TR,Time,Cibicidoides spp.,Cibicidoides (%) - Cib. Robtsonianus,(1) Elevated Epifaunal,(2)( Elevated Epifaunal - C. robertsonianus,(1) porcentage,(2) porcentage - C. robertsonianus,Current Velocities (1),Current Velocities (2),Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera
GeoB9512-5,11.93,137.5,50.8,36.97478992,52.10084034,18.90756303,15.12605042,76.45647668,203.41,HO,MS,YD,21.85,6.3,79,42,33.19327731,17.64705882,0.246893757,0.127969041,5.5,11.3,15.5,0,7.1,2.9,5,1.7,1.7,0,6.3,1.3,2.5,4.6,1.7,0.4,0
GeoB9512-5,12.08,142.5,59.2,49.76525822,46.47887324,19.71830986,14.08450704,60.89758778,169.78,HO,MS,YD,19.25,3.29,72,38,33.8028169,17.84037559,0.253338001,0.129019074,1.9,14.6,16,0,6.1,4.2,1.9,2.8,0.5,0,13.1,0,5.6,2.8,0.5,0.5,0
GeoB9512-5,12.19,147.5,39.1,28.1512605,64.28571429,13.02521008,10.08403361,98.64548779,257.30,HO,MS,YD,35.71,18.49,123,82,51.68067227,34.45378151,0.539399925,0.260406051,16.8,16,17.2,0,2.1,3.4,4.6,0.8,1.3,0,6.7,0,1.7,2.5,0,0.4,0.4
GeoB9512-5,12.3,152.5,63.4,49.00990099,43.06930693,18.81188119,10.89108911,49.33844818,146.81,LO,MS,YD,16.34,3.47,58,32,28.71287129,15.84158416,0.204294461,0.118565712,2,12.4,12.9,0,5.4,3,5,2.5,0.5,0,15.8,0.5,4.5,2,1,0.5,0
GeoB9512-5,12.52,162.5,69,54,39,16.5,22.5,44.81058991,138.24,LO,EU,YD,14.5,2,NaN,22,23.5,11,0.16389138,0.096621752,0.5,9,12.5,0,8.5,4,4.5,0,1.5,0,16.5,0,5,3.5,0,0.5,0
GeoB9512-5,12.63,167.5,69.2,48.22134387,37.54940711,24.90118577,11.85770751,56.39810317,160.65,LO,EU,YD,13.04,1.58,NaN,18,18.5770751,7.114624506,0.133100171,0.081987049,0.4,5.5,11.5,0,4.3,6.3,5.5,4,1.2,0,10.3,0.4,2,1.6,0,0.4,0
GeoB9512-5,12.75,172.5,62.9,45.41666667,45.83333333,14.58333333,13.33333333,60.02200723,167.99,HO,MS,YD,12.92,2.08,NaN,25,21.25,10.41666667,0.149021694,0.094268324,0,8.3,10.8,0,5,6.7,6.7,1.7,0.8,0.4,10.8,0,0,6.3,1.7,1.7,2.1
GeoB9512-5,12.86,177.5,58.9,42.99516908,45.89371981,30.43478261,5.797101449,64.66403162,177.63,LO,MS,YD,16.91,3.38,NaN,35,30.43478261,16.90821256,0.219719344,0.124034017,0.5,13.5,13.5,0,3.9,8.2,6.8,2.4,1,1,5.8,0,2.9,3.4,0,0.5,0.5
GeoB9512-5,12.97,182.5,63.6,47.69874477,40.16736402,22.59414226,11.71548117,60.64246901,169.26,LO,MS,YD,16.74,5.02,NaN,30,24.26778243,12.55230126,0.16929785,0.103174608,2.5,7.5,11.7,0,5.4,7.1,5,2.5,0,0,13.4,0.8,0.8,2.9,0,2.1,0
GeoB9512-5,13.07,187.5,65.6,43.47826087,48.55072464,30.79710145,7.971014493,70.35228659,189.83,HO,MS,B-A,12.32,1.81,NaN,26,19.92753623,9.420289855,0.140919486,0.090380306,1.1,7.6,10.5,0,2.9,4.3,12.7,11.6,0,2.5,5.1,0,1.4,2.9,1.8,4.3,0.7
GeoB9512-5,13.18,192.5,69.4,48.16326531,41.2244898,30.6122449,12.65306122,43.73644309,136.25,LO,EU,B-A,8.16,0,NaN,17,15.10204082,6.93877551,0.114916452,0.081379859,0,6.1,8.2,0.8,3.7,7.3,13.5,5.7,0.8,0.8,5.3,0,0.8,1.6,0.8,2,0
GeoB9512-5,13.29,197.5,84,63.51791531,28.01302932,39.73941368,11.72638436,23.17563984,100.47,LO,EU,B-A,4.89,0.65,NaN,18,10.09771987,5.863192182,0.093005879,0.077762612,0.7,4.2,4.2,1,1.6,6.5,15,19.5,0.3,1,1,0.3,1.6,0.7,0,1.6,0
GeoB9512-5,13.49,202.5,74.8,44.30894309,49.18699187,29.26829268,14.22764228,43.56077348,135.92,LO,EU,B-A,8.54,0.81,NaN,25,17.88617886,10.16260163,0.129269122,0.093261315,0.4,9.3,7.7,0,0.4,3.7,20.7,10.2,0.4,1.2,0.4,0,0.8,0,0.4,3.7,0
GeoB9512-5,13.72,207.5,81.5,43.11594203,51.8115942,34.05797101,8.333333333,37.25422217,124.47,LO,EU,B-A,6.16,0.36,43,27,15.57971014,9.782608696,0.117260435,0.09177522,0.4,9.4,5.8,0,0,1.4,31.9,18.5,0,0.4,1.1,0,1.1,0.7,0,1.4,0
GeoB9512-5,13.96,212.5,70.5,39.37007874,50.78740157,33.46456693,10.23622047,52.41437234,152.76,LO,EU,B-A,10.63,0,54,27,21.25984252,10.62992126,0.149083709,0.095121966,0,9.1,10.6,1.6,0.4,0,21.3,18.9,0.8,0.8,0.4,0.4,0.8,2.4,0,3.1,0
GeoB9512-5,14.19,217.5,71.4,50.91575092,42.12454212,34.7985348,12.45421245,52.42973858,152.79,LO,EU,B-A,8.79,0,52,28,19.04761905,10.25641026,0.13577415,0.093631875,0,9.2,8.8,1.1,0.4,2.9,14.7,21.2,1.5,0,0.7,0.4,1.1,1.8,0.4,1.8,0
GeoB9512-5,14.41,222.5,81.4,70.34220532,25.47528517,59.31558935,10.64638783,35.80527407,121.91,LO,EU,B-A,6.08,2.28,34,24,12.92775665,9.125475285,0.104825181,0.08926094,0.8,6.8,3.8,0,2.3,5.3,6.5,38.4,1.5,2.7,0.8,0,5.3,1.5,0,1.9,0
GeoB9512-5,14.62,227.5,63.2,53.43137255,36.2745098,35.78431373,12.25490196,53.65321101,155.19,HO,MS,B-A,8.33,0.98,35,20,17.15686275,9.803921569,0.125344606,0.091857941,0,8.3,7.4,0.5,1,4.4,3.9,13.7,0.5,6.4,2.5,0.5,1,7.4,1,4.9,0
GeoB9512-5,14.82,237.5,44.7,31.96347032,50.2283105,36.98630137,5.479452055,87.10272624,228.35,HO,MS,HS1-Phase 4,9.59,0.46,47,27,21.46118721,12.32876712,0.150358012,0.102204278,0,11.9,9.1,0,0.5,4.6,5.9,1.8,0,11,3.7,0,0.9,8.7,3.2,6.4,1.4
GeoB9512-5,15.22,242.5,46,28.62903226,56.0483871,27.41935484,6.451612903,92.91465088,242.67,HO,MS,HS1-Phase 4,11.29,0,52,24,20.96774194,9.677419355,0.147254191,0.091368042,0,9.7,11.3,0,0.8,3.2,12.1,2.8,2.4,4.4,4,0,1.2,6,2.8,8.1,1.6
GeoB9512-5,15.39,247.5,49.5,35.18518519,46.75925926,31.01851852,11.11111111,76.00195618,202.38,HO,MS,HS1-Phase 4,9.26,0,37,17,17.12962963,7.87037037,0.125200393,0.084648568,0,7.9,9.3,0,0.9,2.3,5.6,6.5,5.1,2.8,2.3,0,1.4,9.3,2.8,7.4,0
GeoB9512-5,15.48,252.5,53,41.39534884,43.72093023,31.62790698,13.48837209,66.21732397,180.92,HO,MS,HS1-Phase 4,6.98,0.93,30,17,13.95348837,7.906976744,0.109470352,0.084779657,0.9,6.5,6,0.5,1.4,2.3,6,10.2,4.7,1.4,1.4,0,2.3,11.6,2.8,7.4,0.5
GeoB9512-5,15.56,257.5,68.3,52.84552846,36.58536585,28.86178862,19.10569106,50.97747748,149.97,HO,EU,HS1-Phase 4,9.76,2.44,34,16,13.82113821,6.504065041,0.108859608,0.079898073,2,3.7,7.3,0.4,1.2,2.4,6.5,9.3,4.9,3.3,2.8,0.4,2.8,4.9,4.1,3.3,0.4
GeoB9512-5,15.64,262.5,65.3,54.81171548,32.21757322,30.12552301,23.0125523,54.16526223,156.20,HO,MS,HS1-Phase 4,5.86,2.09,24,15,10.041841,6.276150628,0.092786448,0.079131999,2.1,4.2,3.8,0,0.8,1.7,5,10.9,13,1.3,0,0,2.1,5.4,5,5,0.4
GeoB9512-5,15.71,267.5,64.7,53.94190871,36.09958506,32.36514523,16.59751037,59.32560642,166.56,HO,MS,HS1-Phase 4,7.47,2.07,34,21,14.10788382,8.713692946,0.110187158,0.087720631,2.1,6.2,5.4,0.4,0,1.2,5,18.3,9.1,1.2,0.4,0.4,2.1,5,7.1,2.1,0
GeoB9512-5,15.79,272.5,68.3,59.67078189,32.51028807,25.51440329,24.27983539,56.23441229,160.32,LO,EU,HS1-Phase 3,7,1.23,36,22,14.81481481,9.053497942,0.113529617,0.088989765,1.2,6.6,5.8,1.2,0.4,0,6.2,11.9,20.6,0,0,0,3.3,6.6,2.5,4.1,0
